date,price,monthly,yearly
2025年02月,2.4,-6.0,-14.8
2025年01月,2.55,2.4,7.8
2024年12月,2.49,-6.6,5.3
2024年11月,2.67,-21.5,12.2
2024年10月,3.4,-19.4,19.3
2024年09月,4.22,0.7,27.9
2024年08月,4.19,35.2,25.1
2024年07月,3.1,4.4,-7.2
2024年06月,2.97,-4.5,-12.1
2024年05月,3.11,-5.8,9.1
2024年04月,3.3,9.3,25.0
2024年03月,3.02,7.1,14.0
2024年02月,2.82,19.0,8.9
2024年01月,2.37,0.0,-17.4
2023年12月,2.37,-0.4,-9.2
2023年11月,2.38,-16.5,-12.2
2023年10月,2.85,-13.6,-14.9
2023年09月,3.3,-1.5,-11.5
2023年08月,3.35,0.3,-7.7
2023年07月,3.34,-1.2,-2.6
2023年06月,3.38,18.6,6.6
2023年05月,2.85,8.0,-16.2
2023年04月,2.64,-0.4,-33.8
2023年03月,2.65,2.3,-34.2
2023年02月,2.59,-9.8,-21.5
2023年01月,2.87,10.0,-13.8
2022年12月,2.61,-3.7,-21.4
2022年11月,2.71,-19.1,-29.2
2022年10月,3.35,-10.2,-11.8
2022年09月,3.73,2.8,10.7
2022年08月,3.63,5.8,1.4
2022年07月,3.43,8.2,12.5
2022年06月,3.17,-6.8,7.8
2022年05月,3.4,-14.8,20.6
2022年04月,3.99,-1.0,36.2
2022年03月,4.03,22.1,33.9
2022年02月,3.3,-0.9,9.3
2022年01月,3.33,0.3,-2.1
2021年12月,3.32,-13.3,26.2
2021年11月,3.83,0.8,41.3
2021年10月,3.8,12.8,19.5
2021年09月,3.37,-5.9,-9.2
2021年08月,3.58,17.4,-11.2
2021年07月,3.05,3.7,-13.4
2021年06月,2.94,4.3,-13.5
2021年05月,2.82,-3.8,-3.4
2021年04月,2.93,-2.7,-20.2
2021年03月,3.01,-0.3,-13.5
2021年02月,3.02,-11.2,-13.2
2021年01月,3.4,29.3,28.8
2020年12月,2.63,-3.0,9.6
2020年11月,2.71,-14.8,15.3
2020年10月,3.18,-14.3,21.8
2020年09月,3.71,-7.9,28.4
2020年08月,4.03,14.5,30.4
2020年07月,3.52,3.5,18.5
2020年06月,3.4,16.4,23.6
2020年05月,2.92,-20.4,1.4
2020年04月,3.67,5.5,16.9
2020年03月,3.48,0.0,29.9
2020年02月,3.48,31.8,54.0
2020年01月,2.64,10.0,23.9
2019年12月,2.4,2.1,14.8
2019年11月,2.35,-10.0,2.2
2019年10月,2.61,-9.7,-10.0
2019年09月,2.89,-6.5,-20.2
2019年08月,3.09,4.0,-11.0
2019年07月,2.97,8.0,-5.4
2019年06月,2.75,-4.5,-8.3
2019年05月,2.88,-8.3,-5.3
2019年04月,3.14,17.2,15.4
2019年03月,2.68,18.6,15.5
2019年02月,2.26,6.1,-6.2
2019年01月,2.13,1.9,-2.3
2018年12月,2.09,-9.1,-0.9
2018年11月,2.3,-20.7,0.9
2018年10月,2.9,-19.9,9.0
2018年09月,3.62,4.3,24.0
2018年08月,3.47,10.5,7.8
2018年07月,3.14,4.7,3.6
2018年06月,3.0,-1.3,10.3
2018年05月,3.04,11.8,26.7
2018年04月,2.72,17.2,17.2
2018年03月,2.32,-3.7,5.0
2018年02月,2.41,10.6,5.2
2018年01月,2.18,3.3,-17.7
2017年12月,2.11,-7.5,-18.2
2017年11月,2.28,-14.3,-12.3
2017年10月,2.66,-8.9,0.0
2017年09月,2.92,-9.3,-4.9
2017年08月,3.22,6.3,13.8
2017年07月,3.03,11.4,15.6
2017年06月,2.72,13.3,15.7
2017年05月,2.4,3.4,-8.0
2017年04月,2.32,5.0,-25.9
2017年03月,2.21,-3.5,-45.4
2017年02月,2.29,-13.6,-26.1
2017年01月,2.65,2.7,2.7
2016年12月,2.58,-0.8,22.9
2016年11月,2.6,-2.3,19.8
2016年10月,2.66,-13.4,13.2
2016年09月,3.07,8.5,7.0
2016年08月,2.83,8.0,-5.7
2016年07月,2.62,11.5,-8.1
2016年06月,2.35,-10.0,-20.1
2016年05月,2.61,-16.6,-6.8
2016年04月,3.13,-22.7,0.6
2016年03月,4.05,30.6,57.6
2016年02月,3.1,20.2,25.5
2016年01月,2.58,22.9,29.6
2015年12月,2.1,-3.2,5.0
2015年11月,2.17,-7.7,8.5
2015年10月,2.35,-18.1,1.7
2015年09月,2.87,-4.3,10.8
2015年08月,3.0,5.3,14.9
2015年07月,2.85,-3.1,8.0
2015年06月,2.94,5.0,13.1
2015年05月,2.8,-10.0,25.6
2015年04月,3.11,21.0,37.6
2015年03月,2.57,4.0,21.8
2015年02月,2.47,24.1,26.7
2015年01月,1.99,-0.5,1.0
2014年12月,2.0,0.0,-1.0
2014年11月,2.0,-13.4,-7.4
2014年10月,2.31,-10.8,-12.8
2014年09月,2.59,-0.8,-15.4
2014年08月,2.61,-1.1,-17.4
2014年07月,2.64,1.5,-10.2
2014年06月,2.6,16.6,-7.5
2014年05月,2.23,-1.3,-18.3
2014年04月,2.26,7.1,-31.7
2014年03月,2.11,8.2,-2.8
2014年02月,1.95,-1.0,-10.6
2014年01月,1.97,-2.5,-7.9
2013年12月,2.02,-6.5,9.2
2013年11月,2.16,-18.5,34.2
2013年10月,2.65,-13.4,46.4
2013年09月,3.06,-3.2,19.1
2013年08月,3.16,7.5,3.6
2013年07月,2.94,4.6,18.5
2013年06月,2.81,2.9,11.5
2013年05月,2.73,-17.5,-3.2
2013年04月,3.31,52.5,26.8
2013年03月,2.17,-0.5,8.5
2013年02月,2.18,1.9,45.3
2013年01月,2.14,15.7,48.6
2012年12月,1.85,14.9,41.2
2012年11月,1.61,-11.0,8.1
2012年10月,1.81,-29.6,-11.7
2012年09月,2.57,-15.7,8.4
2012年08月,3.05,23.0,32.0
2012年07月,2.48,-1.6,-1.6
2012年06月,2.52,-10.6,16.1
2012年05月,2.82,8.0,62.1
2012年04月,2.61,30.5,69.5
2012年03月,2.0,33.3,30.7
2012年02月,1.5,4.2,-12.3
2012年01月,1.44,9.9,-18.2
2011年12月,1.31,-12.1,-23.4
2011年11月,1.49,-27.3,-25.1
2011年10月,2.05,-13.5,-5.5
2011年09月,2.37,2.6,8.2
2011年08月,2.31,-8.3,-2.5
2011年07月,2.52,16.1,16.7
2011年06月,2.17,24.7,19.2
2011年05月,1.74,13.0,-23.3
2011年04月,1.54,0.7,-44.8
2011年03月,1.53,-10.5,-35.4
2011年02月,1.71,-2.8,-22.6
2011年01月,1.76,2.9,-5.4
2010年12月,1.71,-14.1,13.2
2010年11月,1.99,-8.3,32.7
2010年10月,2.17,-0.9,37.3
2010年09月,2.19,-7.6,11.2
2010年08月,2.37,9.7,26.7
2010年07月,2.16,18.7,26.3
2010年06月,1.82,-19.8,5.8
2010年05月,2.27,-18.6,17.6
2010年04月,2.79,17.7,43.8
2010年03月,2.37,7.2,65.7
2010年02月,2.21,18.8,90.5
2010年01月,1.86,23.2,59.0
2009年12月,1.51,0.7,33.6
2009年11月,1.5,-5.1,22.0
2009年10月,1.58,-19.8,2.6
2009年09月,1.97,5.3,14.5
2009年08月,1.87,9.4,6.9
2009年07月,1.71,-0.6,-0.6
2009年06月,1.72,-10.9,11.7
2009年05月,1.93,-0.5,27.8
2009年04月,1.94,35.7,23.6
2009年03月,1.43,23.3,9.2
2009年02月,1.16,-0.9,-20.5
2009年01月,1.17,3.5,-4.9
2008年12月,1.13,-8.1,-9.6
2008年11月,1.23,-20.1,-11.5
