2025年02月,7.82,-15.0,-21.3
2025年01月,9.2,9.8,5.6
2024年12月,8.38,-4.8,3.3
2024年11月,8.79,-16.4,29.6
2024年10月,10.52,-5.1,54.9
2024年09月,11.08,28.7,59.0
2024年08月,8.61,16.2,29.3
2024年07月,7.41,14.2,9.0
2024年06月,6.49,-10.1,-8.7
2024年05月,7.22,-11.4,-8.4
2024年04月,8.15,-9.6,-5.3
2024年03月,9.02,-9.3,-14.4
2024年02月,9.94,14.1,-10.0
2024年01月,8.71,7.4,-21.5
2023年12月,8.11,19.6,2.7
2023年11月,6.78,-0.1,-14.1
2023年10月,6.79,-2.6,-25.8
2023年09月,6.97,4.7,-24.6
2023年08月,6.66,-2.1,-16.0
2023年07月,6.8,-4.4,-16.2
2023年06月,7.11,-9.8,5.3
2023年05月,7.88,-8.5,4.2
2023年04月,8.61,-18.3,-14.7
2023年03月,10.54,-4.5,-15.9
2023年02月,11.04,-0.5,4.7
2023年01月,11.1,40.5,-3.3
2022年12月,7.9,0.1,-14.9
2022年11月,7.89,-13.8,-20.6
2022年10月,9.15,-1.1,9.3
2022年09月,9.25,16.6,32.0
2022年08月,7.93,-2.2,23.1
2022年07月,8.11,20.1,34.7
2022年06月,6.75,-10.7,15.8
2022年05月,7.56,-25.1,14.0
2022年04月,10.09,-19.5,39.0
2022年03月,12.54,19.0,46.0
2022年02月,10.54,-8.2,-2.7
2022年01月,11.48,23.7,-10.0
2021年12月,9.28,-6.6,-4.5
2021年11月,9.94,18.8,23.3
2021年10月,8.37,19.4,9.6
2021年09月,7.01,8.9,-6.3
2021年08月,6.44,7.0,-6.5
2021年07月,6.02,3.3,-7.2
2021年06月,5.83,-12.1,-4.0
2021年05月,6.63,-8.7,2.3
2021年04月,7.26,-15.5,-10.9
2021年03月,8.59,-20.7,-5.1
2021年02月,10.83,-15.1,6.7
2021年01月,12.76,31.3,46.8
2020年12月,9.72,20.6,35.8
2020年11月,8.06,5.5,29.4
2020年10月,7.64,2.1,24.2
2020年09月,7.48,8.6,25.5
2020年08月,6.89,6.2,17.6
2020年07月,6.49,6.9,14.3
2020年06月,6.07,-6.3,2.4
2020年05月,6.48,-20.5,-12.3
2020年04月,8.15,-9.9,-1.2
2020年03月,9.05,-10.8,-7.7
2020年02月,10.15,16.8,19.7
2020年01月,8.69,21.4,12.6
2019年12月,7.16,14.9,6.4
2019年11月,6.23,1.3,-9.8
2019年10月,6.15,3.2,-18.4
2019年09月,5.96,1.7,-17.1
2019年08月,5.86,3.2,-0.2
2019年07月,5.68,-4.2,4.6
2019年06月,5.93,-19.8,13.6
2019年05月,7.39,-10.4,24.6
2019年04月,8.25,-15.9,14.4
2019年03月,9.81,15.7,24.7
2019年02月,8.48,9.8,-14.3
2019年01月,7.72,14.7,-5.0
2018年12月,6.73,-2.6,1.4
2018年11月,6.91,-8.4,17.9
2018年10月,7.54,4.9,33.2
2018年09月,7.19,22.5,33.1
2018年08月,5.87,8.1,15.3
2018年07月,5.43,4.0,9.3
2018年06月,5.22,-12.0,6.5
2018年05月,5.93,-17.8,10.6
2018年04月,7.21,-8.4,12.5
2018年03月,7.87,-20.4,12.3
2018年02月,9.89,21.6,35.1
2018年01月,8.13,22.4,-3.8
2017年12月,6.64,13.3,-6.9
2017年11月,5.86,3.5,-10.4
2017年10月,5.66,4.8,-3.2
2017年09月,5.4,6.1,-5.1
2017年08月,5.09,2.4,6.7
2017年07月,4.97,1.4,13.2
2017年06月,4.9,-8.6,13.4
2017年05月,5.36,-16.4,-2.2
2017年04月,6.41,-8.6,-11.6
2017年03月,7.01,-4.2,-32.3
2017年02月,7.32,-13.4,-20.1
2017年01月,8.45,18.5,10.9
2016年12月,7.13,9.0,9.2
2016年11月,6.54,11.8,10.3
2016年10月,5.85,2.8,16.1
2016年09月,5.69,19.3,10.7
2016年08月,4.77,8.7,-3.8
2016年07月,4.39,1.6,-11.0
2016年06月,4.32,-21.2,-16.8
2016年05月,5.48,-24.4,-11.3
2016年04月,7.25,-30.0,-5.2
2016年03月,10.36,13.1,35.1
2016年02月,9.16,20.2,-5.4
2016年01月,7.62,16.7,0.7
2015年12月,6.53,10.1,4.5
2015年11月,5.93,17.7,14.5
2015年10月,5.04,-1.9,7.0
2015年09月,5.14,3.6,15.5
2015年08月,4.96,0.6,18.9
2015年07月,4.93,-5.0,16.3
2015年06月,5.19,-16.0,16.1
2015年05月,6.18,-19.2,16.8
2015年04月,7.65,-0.3,16.3
2015年03月,7.67,-20.8,1.6
2015年02月,9.68,27.9,16.6
2015年01月,7.57,21.1,-12.7
2014年12月,6.25,20.7,-12.1
2014年11月,5.18,10.0,-19.7
2014年10月,4.71,5.8,-23.2
2014年09月,4.45,6.7,-30.6
2014年08月,4.17,-1.7,-24.2
2014年07月,4.24,-5.1,-18.1
2014年06月,4.47,-15.5,-14.7
2014年05月,5.29,-19.6,-11.4
2014年04月,6.58,-12.8,-18.2
2014年03月,7.55,-9.0,3.9
2014年02月,8.3,-4.3,23.0
2014年01月,8.67,21.9,28.3
2013年12月,7.11,10.2,25.4
2013年11月,6.45,5.2,46.9
2013年10月,6.13,-4.4,48.4
2013年09月,6.41,16.5,50.5
2013年08月,5.5,6.2,32.2
2013年07月,5.18,-1.1,21.9
2013年06月,5.24,-12.2,10.3
2013年05月,5.97,-25.7,-9.0
2013年04月,8.04,10.6,1.0
2013年03月,7.27,7.7,-24.0
2013年02月,6.75,-0.1,-15.1
2013年01月,6.76,19.2,-31.3
2012年12月,5.67,29.2,-7.2
2012年11月,4.39,6.3,-7.4
2012年10月,4.13,-3.1,-10.6
2012年09月,4.26,2.4,6.0
2012年08月,4.16,-2.1,15.2
2012年07月,4.25,-10.5,10.7
2012年06月,4.75,-27.6,21.5
2012年05月,6.56,-17.6,38.4
2012年04月,7.96,-16.8,35.4
2012年03月,9.57,20.4,20.1
2012年02月,7.95,-19.2,19.5
2012年01月,9.84,61.0,72.9
2011年12月,6.11,28.9,44.4
2011年11月,4.74,2.6,4.6
2011年10月,4.62,14.9,10.0
2011年09月,4.02,11.4,10.7
2011年08月,3.61,-6.0,5.2
2011年07月,3.84,-1.8,17.1
2011年06月,3.91,-17.5,3.7
2011年05月,4.74,-19.4,-4.0
2011年04月,5.88,-26.2,-1.5
2011年03月,7.97,19.8,50.4
2011年02月,6.65,16.9,17.1
2011年01月,5.69,34.5,11.6
2010年12月,4.23,-6.6,-10.9
2010年11月,4.53,7.9,14.4
2010年10月,4.2,15.7,22.4
2010年09月,3.63,5.8,12.4
2010年08月,3.43,4.6,22.9
2010年07月,3.28,-13.0,17.1
2010年06月,3.77,-23.7,19.3
2010年05月,4.94,-17.3,14.1
2010年04月,5.97,12.6,9.5
2010年03月,5.3,-6.7,-11.5
2010年02月,5.68,11.4,-7.9
2010年01月,5.1,7.4,-27.6
2009年12月,4.75,19.9,9.2
2009年11月,3.96,15.5,18.6
2009年10月,3.43,6.2,22.9
2009年09月,3.23,15.8,31.8
2009年08月,2.79,-0.4,20.8
2009年07月,2.8,-11.4,18.6
2009年06月,3.16,-27.0,15.3
2009年05月,4.33,-20.6,14.6
2009年04月,5.45,-9.0,5.0
2009年03月,5.99,-2.9,-1.3
2009年02月,6.17,-12.4,-2.4
2009年01月,7.04,61.8,45.8
2008年12月,4.35,30.2,-2.5
2008年11月,3.34,19.7,-19.5
2008年10月,2.79,13.9,-16.5
2008年09月,2.45,6.1,-15.2
2008年08月,2.31,-2.1,-14.4
2008年07月,2.36,-13.9,-9.9
2008年06月,2.74,-27.5,2.6
2008年05月,3.78,-27.2,9.9
