date,price,monthly,yearly
2025年02月,9.98,-2.1,-4.6
2025年01月,10.2,-0.7,-4.0
2024年12月,10.27,-5.5,-8.7
2024年11月,10.87,-5.6,-8.3
2024年10月,11.51,-0.5,-9.7
2024年09月,11.57,3.3,-10.9
2024年08月,11.2,3.9,-12.2
2024年07月,10.78,5.8,-14.1
2024年06月,10.19,2.0,-17.2
2024年05月,9.99,0.7,-18.4
2024年04月,9.92,-2.5,-18.6
2024年03月,10.17,-2.8,-15.6
2024年02月,10.46,-1.5,-12.5
2024年01月,10.62,-5.6,-15.0
2023年12月,11.25,-5.1,-6.3
2023年11月,11.85,-7.0,2.2
2023年10月,12.74,-1.8,6.3
2023年09月,12.98,1.8,7.4
2023年08月,12.75,1.6,6.5
2023年07月,12.55,2.0,6.4
2023年06月,12.3,0.4,7.9
2023年05月,12.25,0.6,10.9
2023年04月,12.18,1.1,15.8
2023年03月,12.05,0.8,18.6
2023年02月,11.95,-4.3,16.0
2023年01月,12.49,4.0,21.5
2022年12月,12.01,3.5,15.5
2022年11月,11.6,-3.2,6.3
2022年10月,11.98,-0.9,4.9
2022年09月,12.09,1.0,8.3
2022年08月,11.97,1.4,9.1
2022年07月,11.8,3.5,10.6
2022年06月,11.4,3.2,13.1
2022年05月,11.05,5.0,11.1
2022年04月,10.52,3.5,8.8
2022年03月,10.16,-1.4,5.3
2022年02月,10.3,0.2,3.6
2022年01月,10.28,-1.2,4.9
2021年12月,10.4,-4.7,3.9
2021年11月,10.91,-4.5,2.0
2021年10月,11.42,2.3,-0.4
2021年09月,11.16,1.7,-0.6
2021年08月,10.97,2.8,-0.6
2021年07月,10.67,5.9,-1.0
2021年06月,10.08,1.3,-5.7
2021年05月,9.95,2.9,-7.1
2021年04月,9.67,0.2,-9.6
2021年03月,9.65,-2.9,-9.8
2021年02月,9.94,1.4,-10.0
2021年01月,9.8,-2.1,-9.4
2020年12月,10.01,-6.4,-7.4
2020年11月,10.7,-6.7,-4.5
2020年10月,11.47,2.1,-1.1
2020年09月,11.23,1.7,-2.3
2020年08月,11.04,2.4,-3.2
2020年07月,10.78,0.8,-6.3
2020年06月,10.69,-0.2,-8.9
2020年05月,10.71,0.1,-5.1
2020年04月,10.7,0.0,3.4
2020年03月,10.7,-3.2,7.5
2020年02月,11.05,2.1,9.7
2020年01月,10.82,0.1,6.0
2019年12月,10.81,-3.5,7.0
2019年11月,11.2,-3.4,7.0
2019年10月,11.6,1.0,5.6
2019年09月,11.49,0.7,6.4
2019年08月,11.41,-0.8,10.6
2019年07月,11.5,-2.0,15.9
2019年06月,11.74,4.0,17.8
2019年05月,11.29,9.1,12.2
2019年04月,10.35,4.0,6.0
2019年03月,9.95,-1.2,0.7
2019年02月,10.07,-1.4,-0.3
2019年01月,10.21,1.1,1.8
2018年12月,10.1,-3.5,-0.9
2018年11月,10.47,-4.6,-2.0
2018年10月,10.98,1.7,-2.0
2018年09月,10.8,4.7,-3.0
2018年08月,10.32,4.0,-5.3
2018年07月,9.92,-0.5,-6.1
2018年06月,9.97,-0.9,-3.5
2018年05月,10.06,3.1,-4.5
2018年04月,9.76,-1.2,-3.1
2018年03月,9.88,-2.2,6.7
2018年02月,10.1,0.7,10.0
2018年01月,10.03,-1.6,9.6
2017年12月,10.19,-4.6,14.5
2017年11月,10.68,-4.6,14.5
2017年10月,11.2,0.6,20.0
2017年09月,11.13,2.1,24.4
2017年08月,10.9,3.2,27.5
2017年07月,10.56,2.2,27.2
2017年06月,10.33,-1.9,25.1
2017年05月,10.53,4.6,26.4
2017年04月,10.07,8.7,25.2
2017年03月,9.26,0.9,16.6
2017年02月,9.18,0.3,9.5
2017年01月,9.15,2.8,8.5
2016年12月,8.9,-4.6,3.4
2016年11月,9.33,0.0,3.3
2016年10月,9.33,4.2,1.6
2016年09月,8.95,4.7,-3.0
2016年08月,8.55,3.0,-0.8
2016年07月,8.3,0.5,-3.4
2016年06月,8.26,-0.8,-3.7
2016年05月,8.33,3.6,-3.7
2016年04月,8.04,1.3,-9.0
2016年03月,7.94,-5.3,-9.7
2016年02月,8.38,-0.6,-5.3
2016年01月,8.43,-2.1,1.4
2015年12月,8.61,-4.7,4.1
2015年11月,9.03,-1.6,8.3
2015年10月,9.18,-0.5,5.2
2015年09月,9.23,7.1,4.4
2015年08月,8.62,0.3,-1.0
2015年07月,8.59,0.1,1.9
