date,price,monthly,yearly
2025年02月,7.17,-0.1,-5.8
2025年1月,7.18,-0.2,-5.9
2024年12月,7.19,-0.7,-6.4
2024年11月,7.25,-1.0,-6.1
2024年10月,7.32,-1.3,-5.4
2024年09月,7.42,-0.8,-5.1
2024年08月,7.48,0.3,-4.1
2024年07月,7.46,0.1,-4.1
2024年06月,7.45,-0.5,-4.1
2024年05月,7.49,-0.4,-4.1
2024年04月,7.52,-0.8,-4.0
2024年03月,7.58,-0.4,-3.7
2024年02月,7.61,-0.3,-3.7
2024年1月,7.63,-0.8,-3.9
2023年12月,7.69,-0.4,-2.9
2023年11月,7.72,-0.3,-1.9
2023年10月,7.74,-1.0,-2.1
2023年09月,7.82,0.3,-0.9
2023年08月,7.8,0.3,-0.6
2023年07月,7.78,0.1,-0.8
2023年06月,7.77,-0.5,-0.6
2023年05月,7.81,-0.3,0.3
2023年04月,7.83,-0.5,1.2
2023年03月,7.87,-0.4,2.1
2023年02月,7.9,-0.5,3.7
2023年1月,7.94,0.3,4.7
2022年12月,7.92,0.6,4.8
2022年11月,7.87,-0.5,5.6
2022年10月,7.91,0.3,7.8
2022年09月,7.89,0.5,8.5
2022年08月,7.85,0.1,7.8
2022年07月,7.84,0.3,7.8
2022年06月,7.82,0.4,8.2
2022年05月,7.79,0.6,7.9
2022年04月,7.74,0.4,7.6
2022年03月,7.71,1.2,6.5
2022年02月,7.62,0.5,6.0
2022年1月,7.58,0.3,6.5
2021年12月,7.56,1.5,8.8
2021年11月,7.45,1.5,8.3
2021年10月,7.34,1.0,8.1
2021年09月,7.27,-0.1,7.5
2021年08月,7.28,0.1,8.2
2021年07月,7.27,0.6,8.8
2021年06月,7.23,0.1,10.2
2021年05月,7.22,0.4,10.4
2021年04月,7.19,-0.7,11.1
2021年03月,7.24,0.7,17.0
2021年02月,7.19,1.0,16.5
2021年1月,7.12,2.4,17.1
2020年12月,6.95,1.0,15.1
2020年11月,6.88,1.3,14.3
2020年10月,6.79,0.4,12.6
2020年09月,6.76,0.4,11.9
2020年08月,6.73,0.7,11.4
2020年07月,6.68,1.8,10.8
2020年06月,6.56,0.3,9.0
2020年05月,6.54,1.1,8.8
2020年04月,6.47,4.5,8.0
2020年03月,6.19,0.3,3.5
2020年02月,6.17,1.5,3.2
2020年1月,6.08,0.7,1.2
2019年12月,6.04,0.3,0.7
2019年11月,6.02,-0.2,0.8
2019年10月,6.03,-0.2,0.8
2019年09月,6.04,0.0,1.2
2019年08月,6.04,0.2,0.8
2019年07月,6.03,0.2,0.8
2019年06月,6.02,0.2,0.8
2019年05月,6.01,0.3,0.3
2019年04月,5.99,0.2,-0.3
2019年03月,5.98,0.0,-0.7
2019年02月,5.98,-0.5,-0.7
2019年1月,6.01,0.2,0.0
2018年12月,6.0,0.5,0.0
2018年11月,5.97,-0.2,-0.5
2018年10月,5.98,0.2,-0.2
2018年09月,5.97,-0.3,-0.8
2018年08月,5.99,0.2,-1.0
2018年07月,5.98,0.2,-0.7
2018年06月,5.97,-0.3,-0.8
2018年05月,5.99,-0.3,-0.7
2018年04月,6.01,-0.2,-0.5
2018年03月,6.02,0.0,-0.5
2018年02月,6.02,0.2,-0.7
2018年1月,6.01,0.2,-0.7
2017年12月,6.0,0.0,-0.3
2017年11月,6.0,0.2,0.0
2017年10月,5.99,-0.5,-0.5
2017年09月,6.02,-0.5,0.3
2017年08月,6.05,0.5,0.0
2017年07月,6.02,0.0,-0.3
2017年06月,6.02,-0.2,-0.2
2017年05月,6.03,-0.2,0.2
2017年04月,6.04,-0.2,0.5
2017年03月,6.05,-0.2,0.7
2017年02月,6.06,0.2,0.5
2017年1月,6.05,0.5,0.2
2016年12月,6.02,0.3,-0.2
2016年11月,6.0,-0.3,-0.7
2016年10月,6.02,0.3,-0.8
2016年09月,6.0,-0.8,-2.9
2016年08月,6.05,0.2,-2.7
2016年07月,6.04,0.2,-2.9
2016年06月,6.03,0.2,-3.2
2016年05月,6.02,0.2,-3.4
2016年04月,6.01,0.0,-3.7
2016年03月,6.01,-0.3,-4.1
2016年02月,6.03,-0.2,-4.1
2016年1月,6.04,0.2,-3.8
2015年12月,6.03,-0.2,-3.8
2015年11月,6.04,-0.5,-4.1
2015年10月,6.07,-1.8,-4.1
2015年09月,6.18,-0.6,-3.0
2015年08月,6.22,0.0,-2.0
2015年07月,6.22,-0.2,-1.7
2015年06月,6.23,0.0,-1.1
2015年05月,6.23,-0.2,-1.0
2015年04月,6.24,-0.5,-0.5
2015年03月,6.27,-0.3,0.2
2015年02月,6.29,0.2,0.5
2015年1月,6.28,0.2,0.3
2014年12月,6.27,-0.5,0.3
2014年11月,6.3,-0.5,0.8
2014年10月,6.33,-0.6,1.1
2014年09月,6.37,0.3,1.4
2014年08月,6.35,0.3,1.3
2014年07月,6.33,0.5,1.1
2014年06月,6.3,0.2,1.1
2014年05月,6.29,0.3,1.0
2014年04月,6.27,0.2,0.6
2014年03月,6.26,0.0,1.1
2014年02月,6.26,0.0,1.8
2014年1月,6.26,0.2,1.8
2013年12月,6.25,0.0,2.6
2013年11月,6.25,-0.2,3.1
2013年10月,6.26,-0.3,4.9
2013年09月,6.28,0.2,5.4
2013年08月,6.27,0.2,6.6
