date,price,monthly,yearly
2025年02月,3.16,0.2,-5.9
2025年1月,3.15,-1.2,-5.8
2024年12月,3.19,-0.6,-5.5
2024年11月,3.21,-1.2,-5.6
2024年10月,3.25,-1.5,-3.0
2024年09月,3.3,-0.6,0.0
2024年08月,3.32,0.3,1.2
2024年07月,3.31,-0.3,1.5
2024年06月,3.32,-0.9,2.2
2024年05月,3.35,-0.3,2.8
2024年04月,3.36,0.0,2.8
2024年03月,3.36,0.0,2.4
2024年02月,3.36,0.3,2.4
2024年1月,3.35,-0.9,2.4
2023年12月,3.38,-0.6,4.0
2023年11月,3.4,1.5,4.9
2023年10月,3.35,1.5,3.4
2023年09月,3.3,0.6,3.1
2023年08月,3.28,0.6,2.2
2023年07月,3.26,0.3,1.2
2023年06月,3.25,-0.3,1.2
2023年05月,3.26,-0.3,2.8
2023年04月,3.27,-0.3,3.5
2023年03月,3.28,0.0,3.5
2023年02月,3.28,0.3,4.8
2023年1月,3.27,0.6,3.8
2022年12月,3.25,0.3,2.8
2022年11月,3.24,0.0,1.9
2022年10月,3.24,1.3,1.6
2022年09月,3.2,-0.3,0.3
2022年08月,3.21,-0.3,-0.6
2022年07月,3.22,0.3,0.0
2022年06月,3.21,1.3,-1.2
2022年05月,3.17,0.3,-1.9
2022年04月,3.16,-0.3,-2.5
2022年03月,3.17,1.3,-2.8
2022年02月,3.13,-0.6,-4.3
2022年1月,3.15,-0.3,-4.0
2021年12月,3.16,-0.6,-2.2
2021年11月,3.18,-0.3,-0.9
2021年10月,3.19,0.0,0.6
2021年09月,3.19,-1.2,0.6
2021年08月,3.23,0.3,1.9
2021年07月,3.22,-0.9,1.6
2021年06月,3.25,0.6,2.5
2021年05月,3.23,-0.3,1.6
2021年04月,3.24,-0.6,2.5
2021年03月,3.26,-0.3,5.2
2021年02月,3.27,-0.3,5.1
2021年1月,3.28,1.5,4.5
2020年12月,3.23,0.6,4.5
2020年11月,3.21,1.3,2.6
2020年10月,3.17,0.0,1.9
2020年09月,3.17,0.0,1.6
2020年08月,3.17,0.0,1.9
2020年07月,3.17,0.0,1.9
2020年06月,3.17,-0.3,1.6
2020年05月,3.18,0.6,1.3
2020年04月,3.16,1.9,0.6
2020年03月,3.1,-0.3,-1.3
2020年02月,3.11,-1.0,-1.6
2020年1月,3.14,1.6,-0.6
2019年12月,3.09,-1.3,-2.5
2019年11月,3.13,0.6,-0.9
2019年10月,3.11,-0.3,-1.3
2019年09月,3.12,0.3,-2.8
2019年08月,3.11,0.0,-3.7
2019年07月,3.11,-0.3,-3.7
2019年06月,3.12,-0.6,-3.4
2019年05月,3.14,0.0,-2.5
2019年04月,3.14,0.0,-3.1
2019年03月,3.14,-0.6,-3.4
2019年02月,3.16,0.0,-2.2
2019年1月,3.16,-0.3,-1.3
2018年12月,3.17,0.3,-0.6
2018年11月,3.16,0.3,-0.9
2018年10月,3.15,-1.9,-0.9
2018年09月,3.21,-0.6,0.3
2018年08月,3.23,0.0,0.9
2018年07月,3.23,0.0,1.3
2018年06月,3.23,0.3,1.3
2018年05月,3.22,-0.6,1.3
2018年04月,3.24,-0.3,2.2
2018年03月,3.25,0.6,2.8
2018年02月,3.23,0.9,1.9
2018年1月,3.2,0.3,1.3
2017年12月,3.19,0.0,1.3
2017年11月,3.19,0.3,1.6
2017年10月,3.18,-0.6,1.6
2017年09月,3.2,0.0,1.3
2017年08月,3.2,0.3,0.9
2017年07月,3.19,0.0,0.9
2017年06月,3.19,0.3,0.6
2017年05月,3.18,0.3,0.0
2017年04月,3.17,0.3,0.0
2017年03月,3.16,-0.3,-1.3
2017年02月,3.17,0.3,-1.2
2017年1月,3.16,0.3,-1.6
2016年12月,3.15,0.3,-0.6
2016年11月,3.14,0.3,-1.9
2016年10月,3.13,-0.9,-1.9
2016年09月,3.16,-0.3,-2.5
2016年08月,3.17,0.3,-2.8
2016年07月,3.16,-0.3,-2.5
2016年06月,3.17,-0.3,-2.2
2016年05月,3.18,0.3,-1.2
2016年04月,3.17,-0.9,-1.2
2016年03月,3.2,-0.3,0.0
2016年02月,3.21,0.0,0.9
2016年1月,3.21,1.3,1.6
2015年12月,3.17,-0.9,-0.3
2015年11月,3.2,0.3,1.3
2015年10月,3.19,-1.5,0.3
2015年09月,3.24,-0.6,1.3
2015年08月,3.26,0.6,1.9
2015年07月,3.24,0.0,0.6
2015年06月,3.24,0.6,1.3
2015年05月,3.22,0.3,0.9
2015年04月,3.21,0.3,1.9
2015年03月,3.2,0.6,1.9
2015年02月,3.18,0.6,1.9
2015年1月,3.16,-0.6,1.3
2014年12月,3.18,0.6,1.9
2014年11月,3.16,-0.6,1.6
2014年10月,3.18,-0.6,2.3
2014年09月,3.2,0.0,2.9
2014年08月,3.2,-0.6,2.6
2014年07月,3.22,0.6,3.2
2014年06月,3.2,0.3,3.6
2014年05月,3.19,1.3,3.6
2014年04月,3.15,0.3,1.9
2014年03月,3.14,0.6,1.3
2014年02月,3.12,0.0,0.6
2014年1月,3.12,0.0,1.0
2013年12月,3.12,0.3,1.0
2013年11月,3.11,0.0,0.6
2013年10月,3.11,0.0,-0.3
2013年09月,3.11,-0.3,-1.0
2013年08月,3.12,0.0,0.6
2013年07月,3.12,1.0,1.6
2013年06月,3.09,0.3,0.7
2013年05月,3.08,-0.3,1.0
2013年04月,3.09,-0.3,1.6
2013年03月,3.1,0.0,2.3
2013年02月,3.1,0.3,2.6
2013年1月,3.09,0.0,1.3
2012年12月,3.09,0.0,1.6
2012年11月,3.09,-1.0,1.6
2012年10月,3.12,-0.6,2.3
2012年09月,3.14,1.3,2.6
2012年08月,3.1,1.0,1.3
2012年07月,3.07,0.0,1.3
2012年06月,3.07,0.7,2.0
2012年05月,3.05,0.3,2.7
2012年04月,3.04,0.3,2.4
2012年03月,3.03,0.3,3.1
2012年02月,3.02,-1.0,4.5
2012年1月,3.05,0.3,7.8
2011年12月,3.04,0.0,8.6
2011年11月,3.04,-0.3,9.7
2011年10月,3.05,-0.3,15.5
2011年09月,3.06,0.0,16.3
2011年08月,3.06,1.0,16.8
2011年07月,3.03,0.7,16.1
2011年06月,3.01,1.3,15.8
2011年05月,2.97,0.0,15.1
2011年04月,2.97,1.0,18.8
2011年03月,2.94,1.7,19.5
2011年02月,2.89,2.1,20.4
2011年1月,2.83,1.1,24.1
2010年12月,2.8,1.1,26.1
2010年11月,2.77,4.9,28.2
2010年10月,2.64,0.4,21.7
2010年09月,2.63,0.4,19.5
2010年08月,2.62,0.4,19.6
2010年07月,2.61,0.4,17.6
2010年06月,2.6,0.8,18.7
2010年05月,2.58,3.2,18.9
2010年04月,2.5,1.6,16.8
2010年03月,2.46,2.5,17.1
2010年02月,2.4,5.3,16.5
2010年1月,2.28,2.7,12.9
2009年12月,2.22,2.8,11.0
2009年11月,2.16,-0.5,5.4
2009年10月,2.17,-1.4,4.8
2009年09月,2.2,0.5,4.8
2009年08月,2.19,-1.4,5.3
2009年07月,2.22,1.4,7.8
2009年06月,2.19,0.9,6.8
2009年05月,2.17,1.4,7.4
2009年04月,2.14,1.9,12.0
2009年03月,2.1,1.9,8.2
2009年02月,2.06,2.0,7.3
2009年1月,2.02,1.0,5.8
2008年12月,2.0,-2.4,3.6
2008年11月,2.05,-1.0,5.1
2008年10月,2.07,-1.4,5.1
2008年09月,2.1,1.0,6.6
2008年08月,2.08,1.0,5.6
2008年07月,2.06,0.5,6.7
2008年06月,2.05,1.5,7.3
2008年05月,2.02,5.8,6.3
2008年04月,1.91,-1.5,1.6
2008年03月,1.94,1.0,2.6
2008年02月,1.92,0.5,1.6
2008年1月,1.91,-1.0,1.6
2007年12月,1.93,-1.0,2.7
2007年11月,1.95,-1.0,6.0
2007年10月,1.97,0.0,6.5
2007年09月,1.97,0.0,5.9
2007年08月,1.97,2.1,7.1
2007年07月,1.93,1.0,5.5
2007年06月,1.91,0.5,4.9
2007年05月,1.9,1.1,4.4
2007年04月,1.88,-0.5,3.3
2007年03月,1.89,0.0,3.8
2007年02月,1.89,0.5,4.4
2007年1月,1.88,0.0,3.9
2006年12月,1.88,2.2,5.0
2006年11月,1.84,-0.5,4.5
2006年10月,1.85,-0.5,4.5
2006年09月,1.86,1.1,3.9
2006年08月,1.84,0.5,3.4
2006年07月,1.83,0.5,2.2
2006年06月,1.82,0.0,1.1
2006年05月,1.82,0.0,1.1
2006年04月,1.82,0.0,0.6
2006年03月,1.82,0.6,2.2
2006年02月,1.81,0.0,2.8
2006年1月,1.81,1.1,3.4
2005年12月,1.79,1.7,2.9
2005年11月,1.76,-0.6,1.1
2005年10月,1.77,-1.1,-0.6
2005年09月,1.79,0.6,-0.6
2005年08月,1.78,-0.6,0.6
2005年07月,1.79,-0.6,0.6
2005年06月,1.8,0.0,0.6
2005年05月,1.8,-0.6,0.6
2005年04月,1.81,1.7,0.0
2005年03月,1.78,1.1,0.0
2005年02月,1.76,0.6,22.2
2005年1月,1.75,0.6,25.9
2004年12月,1.74,0.0,27.9
2004年11月,1.74,-2.2,27.9
2004年10月,1.78,-1.1,43.5
2004年09月,1.8,1.7,52.5
2004年08月,1.77,-0.6,51.3
2004年07月,1.78,-0.6,53.4
2004年06月,1.79,0.0,54.3
2004年05月,1.79,-1.1,55.7
2004年04月,1.81,1.7,53.4
2004年03月,1.78,23.6,52.1
2004年02月,1.44,3.6,27.4
2004年1月,1.39,2.2,24.1
2003年12月,1.36,0.0,1.0
2003年11月,1.36,9.7,0.6
2003年10月,1.24,5.1,-0.3
2003年09月,1.18,0.9,-1.0
2003年08月,1.17,0.9,0.6
2003年07月,1.16,0.0,1.6
2003年06月,1.16,0.9,0.7
2003年05月,1.15,-2.5,1.0
2003年04月,1.18,0.9,1.6
2003年03月,1.17,3.5,2.3
2003年02月,1.13,0.9,2.6
2003年1月,1.12,0.9,1.3
