date,price,monthly,yearly
2025年02月,5.8,-0.2,-1.1
2025年01月,5.82,0.2,-1.3
2024年12月,5.81,-0.1,-1.4
2024年11月,5.82,-0.2,-1.2
2024年10月,5.83,-0.3,-0.7
2024年09月,5.85,-0.2,0.2
2024年08月,5.86,-0.2,0.7
2024年07月,5.87,0.2,1.0
2024年06月,5.86,0.2,1.0
2024年05月,5.85,-0.2,0.9
2024年04月,5.86,-0.2,1.0
2024年03月,5.87,0.0,1.2
2024年02月,5.87,-0.5,1.4
2024年01月,5.9,0.2,1.7
2023年12月,5.89,0.0,1.6
2023年11月,5.89,0.3,1.9
2023年10月,5.87,0.5,1.2
2023年09月,5.84,0.3,1.6
2023年08月,5.82,0.2,0.9
2023年07月,5.81,0.2,0.9
2023年06月,5.8,0.0,1.0
2023年05月,5.8,0.0,1.1
2023年04月,5.8,0.0,1.0
2023年03月,5.8,0.2,1.2
2023年02月,5.79,-0.2,1.2
2023年01月,5.8,0.0,1.2
2022年12月,5.8,0.3,1.0
2022年11月,5.78,-0.3,1.0
2022年10月,5.8,0.9,1.8
2022年09月,5.75,-0.3,0.9
2022年08月,5.77,0.2,1.1
2022年07月,5.76,0.3,0.9
2022年06月,5.74,0.0,0.7
2022年05月,5.74,0.0,0.5
2022年04月,5.74,0.2,0.5
2022年03月,5.73,0.2,0.2
2022年02月,5.72,-0.2,0.2
2022年01月,5.73,-0.2,0.4
2021年12月,5.74,0.3,1.2
2021年11月,5.72,0.4,1.4
2021年10月,5.7,0.0,1.2
2021年09月,5.7,-0.2,1.6
2021年08月,5.71,0.0,2.0
2021年07月,5.71,0.2,1.8
2021年06月,5.7,-0.2,1.8
2021年05月,5.71,0.0,2.0
2021年04月,5.71,-0.2,2.1
2021年03月,5.72,0.2,3.2
2021年02月,5.71,0.0,3.3
2021年01月,5.71,0.7,3.3
2020年12月,5.67,0.5,2.7
2020年11月,5.64,0.2,1.8
2020年10月,5.63,0.4,0.9
2020年09月,5.61,0.2,0.5
2020年08月,5.6,-0.2,0.4
2020年07月,5.61,0.2,0.7
2020年06月,5.6,0.0,0.5
2020年05月,5.6,0.2,0.5
2020年04月,5.59,0.9,0.2
2020年03月,5.54,0.2,-0.5
2020年02月,5.53,0.0,-0.7
2020年01月,5.53,0.2,-0.5
2019年12月,5.52,-0.4,-0.7
2019年11月,5.54,-0.7,0.0
2019年10月,5.58,0.0,0.7
2019年09月,5.58,0.0,0.2
2019年08月,5.58,0.2,0.2
2019年07月,5.57,0.0,-0.2
2019年06月,5.57,0.0,0.0
2019年05月,5.57,-0.2,0.0
