date,price,monthly,yearly
2025年02月,14.02,-0.8,-5.2
2025年1月,14.12,0.3,-4.6
2024年12月,14.08,-0.5,-5.3
2024年11月,14.15,-0.6,-5.3
2024年10月,14.24,-1.5,-6.3
2024年09月,14.46,-0.8,-7.5
2024年08月,14.58,-0.1,-7.2
2024年07月,14.6,-0.5,-5.3
2024年06月,14.67,-0.5,-3.8
2024年05月,14.74,-0.3,-1.9
2024年04月,14.79,0.0,0.5
2024年03月,14.79,0.0,1.4
2024年02月,14.79,-0.1,2.8
2024年1月,14.81,-0.4,3.2
2023年12月,14.87,-0.5,4.6
2023年11月,14.94,-1.7,5.1
2023年10月,15.2,-2.8,8.1
2023年09月,15.64,-0.4,12.9
2023年08月,15.71,1.9,14.6
2023年07月,15.41,1.0,13.1
2023年06月,15.25,1.5,11.9
2023年05月,15.03,2.2,10.4
2023年04月,14.71,0.9,9.1
2023年03月,14.58,1.3,8.4
2023年02月,14.39,0.3,6.7
2023年1月,14.35,1.0,5.4
2022年12月,14.21,0.0,4.3
2022年11月,14.21,1.1,3.7
2022年10月,14.06,1.5,3.1
2022年09月,13.85,1.0,1.5
2022年08月,13.71,0.6,0.6
2022年07月,13.63,0.0,-0.2
2022年06月,13.63,0.2,-0.9
2022年05月,13.61,1.0,-1.7
2022年04月,13.48,0.2,-3.3
2022年03月,13.45,-0.3,-3.8
2022年02月,13.49,-1.0,-3.5
2022年1月,13.62,0.0,-1.9
2021年12月,13.62,-0.6,-0.9
2021年11月,13.7,0.4,-0.4
2021年10月,13.64,-0.1,-0.9
2021年09月,13.65,0.1,-1.8
2021年08月,13.63,-0.2,-5.0
2021年07月,13.66,-0.7,-4.2
2021年06月,13.76,-0.6,-3.8
2021年05月,13.85,-0.6,-3.3
2021年04月,13.94,-0.3,-1.8
2021年03月,13.98,0.0,3.3
2021年02月,13.98,0.7,4.9
2021年1月,13.88,0.9,5.6
2020年12月,13.75,0.0,5.9
2020年11月,13.75,-0.1,6.3
2020年10月,13.76,-1.0,8.9
2020年09月,13.9,-3.1,9.1
2020年08月,14.35,0.6,10.6
2020年07月,14.26,-0.3,12.1
2020年06月,14.31,-0.1,13.7
2020年05月,14.32,0.8,14.5
2020年04月,14.2,5.0,16.2
2020年03月,13.53,1.5,14.2
2020年02月,13.33,1.4,12.8
2020年1月,13.15,1.3,10.8
2019年12月,12.98,0.4,9.9
2019年11月,12.93,2.3,9.2
2019年10月,12.64,-0.8,6.7
2019年09月,12.74,-1.8,7.1
2019年08月,12.98,2.0,8.9
2019年07月,12.72,1.0,7.0
2019年06月,12.59,0.6,6.2
2019年05月,12.51,2.4,4.9
2019年04月,12.22,3.1,1.8
2019年03月,11.85,0.3,-1.9
2019年02月,11.82,-0.4,-2.9
2019年1月,11.87,0.5,-2.5
2018年12月,11.81,-0.3,-3.4
2018年11月,11.84,-0.1,-3.4
2018年10月,11.85,-0.3,-2.9
2018年09月,11.89,-0.3,-3.6
2018年08月,11.92,0.3,-4.6
2018年07月,11.89,0.3,-5.2
2018年06月,11.86,-0.5,-6.1
2018年05月,11.92,-0.7,-6.3
2018年04月,12.0,-0.7,-6.2
2018年03月,12.08,-0.7,-6.1
2018年02月,12.17,0.0,-6.3
2018年1月,12.17,-0.5,-7.2
2017年12月,12.23,-0.2,-5.7
2017年11月,12.26,0.4,-5.5
2017年10月,12.21,-1.1,-5.9
2017年09月,12.34,-1.2,-6.4
2017年08月,12.49,-0.4,-8.4
2017年07月,12.54,-0.7,-8.7
2017年06月,12.63,-0.7,-6.5
2017年05月,12.72,-0.5,-3.7
2017年04月,12.79,-0.6,-2.1
2017年03月,12.87,-0.9,0.0
2017年02月,12.99,-0.9,1.8
2017年1月,13.11,1.1,3.1
2016年12月,12.97,0.0,2.7
2016年11月,12.97,-0.1,2.3
2016年10月,12.98,-1.5,1.7
2016年09月,13.18,-3.4,1.9
2016年08月,13.64,-0.7,3.5
2016年07月,13.74,1.7,5.0
2016年06月,13.51,2.3,3.9
2016年05月,13.21,1.1,1.3
2016年04月,13.06,1.5,0.3
2016年03月,12.87,0.9,-0.8
2016年02月,12.76,0.4,-1.9
2016年1月,12.71,0.6,-1.0
2015年12月,12.63,-0.4,-0.2
2015年11月,12.68,-0.6,3.5
2015年10月,12.76,-1.4,6.5
2015年09月,12.94,-1.8,8.6
2015年08月,13.18,0.8,11.0
2015年07月,13.08,0.6,11.4
2015年06月,13.0,-0.3,10.6
2015年05月,13.04,0.2,11.0
2015年04月,13.02,0.4,12.2
2015年03月,12.97,-0.3,10.7
2015年02月,13.01,1.3,8.9
2015年1月,12.84,1.5,5.2
2014年12月,12.65,3.3,1.4
2014年11月,12.25,2.3,-2.9
2014年10月,11.98,0.5,-6.3
2014年09月,11.92,0.4,-8.4
2014年08月,11.87,1.1,-9.9
2014年07月,11.74,-0.1,-10.9
2014年06月,11.75,0.0,-11.1
2014年05月,11.75,1.3,-13.2
2014年04月,11.6,-1.0,-15.9
2014年03月,11.72,-1.9,-15.9
2014年02月,11.95,-2.0,-14.8
2014年1月,12.2,-2.2,-13.4
2013年12月,12.47,-1.2,-11.3
2013年11月,12.62,-1.3,-10.0
2013年10月,12.78,-1.8,-10.0
2013年09月,13.02,-1.2,-10.0
2013年08月,13.18,0.1,-9.9
2013年07月,13.17,-0.4,-10.4
2013年06月,13.22,-2.3,-10.3
2013年05月,13.53,-2.0,-7.9
2013年04月,13.8,-1.0,-5.3
2013年03月,13.94,-0.6,-2.6
2013年02月,14.03,-0.4,0.5
2013年1月,14.09,0.2,2.7
2012年12月,14.06,0.2,3.8
2012年11月,14.03,-1.2,1.2
2012年10月,14.2,-1.9,0.2
2012年09月,14.47,-1.1,-0.1
2012年08月,14.63,-0.5,1.5
2012年07月,14.7,-0.2,4.6
2012年06月,14.73,0.3,10.3
2012年05月,14.69,0.8,20.7
2012年04月,14.58,1.9,26.7
2012年03月,14.31,2.5,28.7
2012年02月,13.96,1.7,26.3
2012年1月,13.72,1.3,25.3
2011年12月,13.54,-2.3,24.7
2011年11月,13.86,-2.2,28.9
2011年10月,14.17,-2.2,36.6
2011年09月,14.49,0.5,42.9
2011年08月,14.42,2.6,45.8
2011年07月,14.05,5.2,42.8
2011年06月,13.36,9.8,35.9
2011年05月,12.17,5.7,24.2
2011年04月,11.51,3.5,17.7
2011年03月,11.12,0.6,14.5
2011年02月,11.05,0.9,13.7
2011年1月,10.95,0.8,14.7
2010年12月,10.86,1.0,17.5
2010年11月,10.75,3.7,24.4
2010年10月,10.37,2.3,29.5
2010年09月,10.14,2.5,30.3
2010年08月,9.89,0.5,30.3
2010年07月,9.84,0.1,30.3
2010年06月,9.83,0.3,30.7
2010年05月,9.8,0.2,31.2
2010年04月,9.78,0.7,32.9
2010年03月,9.71,-0.1,31.6
2010年02月,9.72,1.8,26.9
2010年1月,9.55,3.4,22.3
2009年12月,9.24,6.9,9.1
2009年11月,8.64,7.9,-7.6
2009年10月,8.01,3.0,-20.6
2009年09月,7.78,2.5,-26.0
2009年08月,7.59,0.5,-29.3
2009年07月,7.55,0.4,-30.2
2009年06月,7.52,0.7,-30.1
2009年05月,7.47,1.5,-30.4
2009年04月,7.36,-0.3,-31.0
2009年03月,7.38,-3.7,-29.8
2009年02月,7.66,-1.9,-25.2
2009年1月,7.81,-7.8,-22.4
2008年12月,8.47,-9.4,-12.2
2008年11月,9.35,-7.3,1.2
2008年10月,10.09,-4.0,16.4
2008年09月,10.51,-2.1,23.4
2008年08月,10.73,-0.7,27.6
2008年07月,10.81,0.5,33.5
2008年06月,10.76,0.3,35.0
2008年05月,10.73,0.6,38.1
2008年04月,10.67,1.5,40.2
2008年03月,10.51,2.6,40.5
2008年02月,10.24,1.7,37.4
2008年1月,10.07,4.4,37.4
2007年12月,9.65,4.4,32.6
2007年11月,9.24,6.6,30.5
2007年10月,8.67,1.8,24.4
2007年09月,8.52,1.3,21.9
2007年08月,8.41,3.8,20.0
2007年07月,8.1,1.6,16.7
2007年06月,7.97,2.6,16.5
2007年05月,7.77,2.1,16.1
2007年04月,7.61,1.7,15.7
2007年03月,7.48,0.4,14.2
2007年02月,7.45,1.6,13.2
2007年1月,7.33,0.7,10.9
2006年12月,7.28,2.8,11.8
2006年11月,7.08,1.6,8.4
2006年10月,6.97,-0.3,6.7
2006年09月,6.99,-0.3,6.1
2006年08月,7.01,1.0,6.5
2006年07月,6.94,1.5,6.1
2006年06月,6.84,2.2,4.3
2006年05月,6.69,1.7,1.7
2006年04月,6.58,0.5,-0.9
2006年03月,6.55,-0.5,-1.5
2006年02月,6.58,-0.5,-1.9
2006年1月,6.61,1.5,-1.2
2005年12月,6.51,-0.3,-3.1
2005年11月,6.53,0.0,-3.5
2005年10月,6.53,-0.9,-4.7
2005年09月,6.59,0.2,-3.9
2005年08月,6.58,0.6,-4.6
2005年07月,6.54,-0.3,-4.7
2005年06月,6.56,-0.3,-4.4
2005年05月,6.58,-0.9,-3.1
2005年04月,6.64,-0.2,-1.5
2005年03月,6.65,-0.9,0.3
2005年02月,6.71,0.3,3.4
2005年1月,6.69,-0.4,2.1
2004年12月,6.72,-0.7,6.2
2004年11月,6.77,-1.2,9.0
2004年10月,6.85,-0.1,17.5
2004年09月,6.86,-0.6,21.0
2004年08月,6.9,0.6,22.1
2004年07月,6.86,0.0,23.4
2004年06月,6.86,1.0,22.5
2004年05月,6.79,0.7,22.6
2004年04月,6.74,1.7,24.6
2004年03月,6.63,2.2,26.3
2004年02月,6.49,-0.9,28.5
2004年1月,6.55,3.5,30.5
2003年12月,6.33,1.9,-11.3
2003年11月,6.21,6.5,-10.0
2003年10月,5.83,2.8,-10.0
2003年09月,5.67,0.4,-10.0
2003年08月,5.65,1.6,-9.9
2003年07月,5.56,-0.7,-10.4
2003年06月,5.6,1.1,-10.3
2003年05月,5.54,2.4,-7.9
2003年04月,5.41,3.0,-5.3
2003年03月,5.25,4.0,-2.6
2003年02月,5.05,0.6,0.5
2003年1月,5.02,8.2,2.7
