date,price,monthly,yearly
2025年02月,6.49,-17.6,-18.9
2025年1月,7.87,17.1,1.8
2024年12月,6.72,-3.3,-15.3
2024年11月,6.95,11.6,-7.9
2024年10月,6.23,-14.1,0.5
2024年09月,7.25,-3.2,19.4
2024年08月,7.49,14.2,46.3
2024年07月,6.56,40.8,39.0
2024年06月,4.66,1.3,-1.3
2024年05月,4.6,-22.3,-11.5
2024年04月,5.92,-19.0,-2.1
2024年03月,7.31,-8.6,-6.3
2024年02月,8.0,3.4,-17.3
2024年1月,7.74,-2.5,-30.8
2023年12月,7.94,5.2,-2.8
2023年11月,7.55,21.8,0.5
2023年10月,6.2,2.1,-3.3
2023年09月,6.07,18.6,4.3
2023年08月,5.12,8.5,-30.4
2023年07月,4.72,0.0,-19.9
2023年06月,4.72,-9.2,11.8
2023年05月,5.2,-14.1,6.8
2023年04月,6.05,-22.4,-5.8
2023年03月,7.8,-19.3,-18.5
2023年02月,9.67,-13.5,8.0
2023年1月,11.18,36.8,-1.2
2022年12月,8.17,8.8,-1.7
2022年11月,7.51,17.2,-22.6
2022年10月,6.41,10.1,-34.4
2022年09月,5.82,-20.9,-4.3
2022年08月,7.36,25.0,40.5
2022年07月,5.89,39.6,17.1
2022年06月,4.22,-13.4,-9.8
2022年05月,4.87,-24.1,0.6
2022年04月,6.42,-32.9,23.2
2022年03月,9.57,6.9,43.9
2022年02月,8.95,-20.9,29.9
2022年1月,11.32,36.2,55.5
2021年12月,8.31,-14.3,29.6
2021年11月,9.7,-0.7,55.9
2021年10月,9.77,60.7,71.1
2021年09月,6.08,16.0,6.3
2021年08月,5.24,4.2,-19.8
2021年07月,5.03,7.5,2.2
2021年06月,4.68,-3.3,0.2
2021年05月,4.84,-7.1,4.5
2021年04月,5.21,-21.7,-3.0
2021年03月,6.65,-3.5,-5.4
2021年02月,6.89,-5.4,-23.6
2021年1月,7.28,13.6,-26.3
2020年12月,6.41,3.1,-15.1
2020年11月,6.22,8.9,-14.6
2020年10月,5.71,-0.2,-7.5
2020年09月,5.72,-12.4,12.6
2020年08月,6.53,32.7,31.7
2020年07月,4.92,5.4,25.5
2020年06月,4.67,0.9,14.7
2020年05月,4.63,-13.8,1.1
2020年04月,5.37,-23.6,-3.6
2020年03月,7.03,-22.1,-5.1
2020年02月,9.02,-8.7,5.3
2020年1月,9.88,30.9,20.2
2019年12月,7.55,3.7,8.5
2019年11月,7.28,18.0,30.7
2019年10月,6.17,21.5,16.2
2019年09月,5.08,2.4,-16.6
2019年08月,4.96,26.5,-11.0
2019年07月,3.92,-3.7,-10.1
2019年06月,4.07,-11.1,14.0
2019年05月,4.58,-17.8,2.7
2019年04月,5.57,-24.8,5.1
2019年03月,7.41,-13.5,9.5
2019年02月,8.57,4.3,14.3
2019年1月,8.22,18.1,33.0
2018年12月,6.96,25.0,25.0
2018年11月,5.57,4.9,2.0
2018年10月,5.31,-12.8,-6.3
2018年09月,6.09,9.3,41.3
2018年08月,5.57,27.8,31.7
2018年07月,4.36,22.1,8.5
2018年06月,3.57,-20.0,-1.7
2018年05月,4.46,-15.8,15.2
2018年04月,5.3,-21.7,11.6
2018年03月,6.77,-9.7,28.0
2018年02月,7.5,21.4,14.5
2018年1月,6.18,11.0,-23.9
2017年12月,5.57,2.0,-1.1
2017年11月,5.46,-3.7,1.7
2017年10月,5.67,31.6,14.5
2017年09月,4.31,1.9,-7.7
2017年08月,4.23,5.2,-4.7
2017年07月,4.02,10.7,12.3
2017年06月,3.63,-6.2,19.0
2017年05月,3.87,-18.5,9.3
2017年04月,4.75,-10.2,2.4
2017年03月,5.29,-19.2,-22.2
2017年02月,6.55,-19.3,-19.4
2017年1月,8.12,44.2,6.0
2016年12月,5.63,4.8,-14.7
2016年11月,5.37,8.5,-16.9
2016年10月,4.95,6.0,22.2
2016年09月,4.67,5.2,17.3
2016年08月,4.44,24.0,3.5
2016年07月,3.58,17.4,-5.0
2016年06月,3.05,-13.8,-10.6
2016年05月,3.54,-23.7,-11.9
2016年04月,4.64,-31.8,-3.5
2016年03月,6.8,-16.4,19.1
2016年02月,8.13,6.1,0.5
2016年1月,7.66,16.1,19.5
2015年12月,6.6,2.2,1.1
2015年11月,6.46,59.5,19.0
2015年10月,4.05,1.8,-5.2
2015年09月,3.98,-7.2,-5.7
2015年08月,4.29,13.8,22.2
2015年07月,3.77,10.6,17.8
2015年06月,3.41,-15.2,10.4
2015年05月,4.02,-16.4,20.7
2015年04月,4.81,-15.8,8.1
2015年03月,5.71,-29.4,-7.5
2015年02月,8.09,26.2,16.6
2015年1月,6.41,-1.8,-5.7
2014年12月,6.53,20.3,20.9
2014年11月,5.43,27.2,3.0
2014年10月,4.27,1.2,-17.2
2014年09月,4.22,20.2,-5.8
2014年08月,3.51,9.7,-15.6
2014年07月,3.2,3.6,-14.2
2014年06月,3.09,-7.2,-8.0
2014年05月,3.33,-25.2,-8.0
2014年04月,4.45,-27.9,-10.5
2014年03月,6.17,-11.1,-1.1
2014年02月,6.94,2.1,-0.1
2014年1月,6.8,25.9,10.2
2013年12月,5.4,2.5,-5.1
2013年11月,5.27,2.1,20.3
2013年10月,5.16,15.2,50.0
2013年09月,4.48,7.7,30.6
2013年08月,4.16,11.5,9.5
2013年07月,3.73,11.0,19.9
2013年06月,3.36,-7.2,24.0
2013年05月,3.62,-27.2,1.7
2013年04月,4.97,-20.4,-1.4
2013年03月,6.24,-10.2,0.5
2013年02月,6.95,12.6,9.4
2013年1月,6.17,8.4,-24.5
2012年12月,5.69,29.9,-5.5
2012年11月,4.38,27.3,5.3
2012年10月,3.44,0.3,0.6
2012年09月,3.43,-9.7,-0.9
2012年08月,3.8,22.2,24.2
2012年07月,3.11,14.8,17.4
2012年06月,2.71,-23.9,3.4
2012年05月,3.56,-29.4,7.9
2012年04月,5.04,-18.8,33.7
2012年03月,6.21,-2.2,32.7
2012年02月,6.35,-22.3,25.2
2012年1月,8.17,35.7,65.1
2011年12月,6.02,44.7,59.3
2011年11月,4.16,21.6,5.1
2011年10月,3.42,-1.2,-5.3
2011年09月,3.46,13.1,17.3
2011年08月,3.06,15.5,5.9
2011年07月,2.65,1.1,15.2
2011年06月,2.62,-20.6,18.0
2011年05月,3.3,-12.5,5.4
2011年04月,3.77,-19.4,-11.1
2011年03月,4.68,-7.7,-6.6
2011年02月,5.07,2.4,-16.2
2011年1月,4.95,31.0,6.9
2010年12月,3.78,-4.5,-17.3
2010年11月,3.96,9.7,3.7
2010年10月,3.61,22.4,32.2
2010年09月,2.95,2.1,10.1
2010年08月,2.89,25.7,27.9
2010年07月,2.3,3.6,14.4
2010年06月,2.22,-29.1,9.9
2010年05月,3.13,-26.2,8.7
2010年04月,4.24,-15.4,19.8
2010年03月,5.01,-17.2,11.1
2010年02月,6.05,30.7,31.2
2010年1月,4.63,1.3,-2.1
2009年12月,4.57,19.6,27.3
2009年11月,3.82,39.9,24.0
2009年10月,2.73,1.9,6.2
2009年09月,2.68,18.6,22.9
2009年08月,2.26,12.4,15.3
2009年07月,2.01,-0.5,15.5
2009年06月,2.02,-29.9,14.8
2009年05月,2.88,-18.6,28.0
2009年04月,3.54,-21.5,5.7
2009年03月,4.51,-2.2,6.1
2009年02月,4.61,-2.5,-2.5
2009年1月,4.73,31.8,21.9
2008年12月,3.59,16.6,2.3
2008年11月,3.08,19.8,-7.5
2008年10月,2.57,17.9,-14.9
2008年09月,2.18,11.2,-1.8
2008年08月,1.96,12.6,-14.8
2008年07月,1.74,-1.1,-5.9
2008年06月,1.76,-21.8,1.1
2008年05月,2.25,-32.8,1.8
2008年04月,3.35,-21.2,19.2
2008年03月,4.25,-10.1,19.7
2008年02月,4.73,21.9,25.5
2008年1月,3.88,10.5,19.4
2007年12月,3.51,5.4,8.0
2007年11月,3.33,10.3,42.3
2007年10月,3.02,36.0,55.7
2007年09月,2.22,-3.5,2.3
2007年08月,2.3,24.3,35.3
2007年07月,1.85,6.3,35.0
2007年06月,1.74,-21.3,9.4
2007年05月,2.21,-21.4,5.2
2007年04月,2.81,-20.8,-0.4
2007年03月,3.55,-5.8,7.9
2007年02月,3.77,16.0,5.0
2007年1月,3.25,0.0,-22.4
2006年12月,3.25,38.9,19.5
2006年11月,2.34,20.6,-5.6
2006年10月,1.94,-10.6,-11.4
2006年09月,2.17,27.6,26.9
2006年08月,1.7,24.1,3.7
2006年07月,1.37,-13.8,-8.1
2006年06月,1.59,-24.3,22.3
2006年05月,2.1,-25.5,11.1
2006年04月,2.82,-14.3,6.0
2006年03月,3.29,-8.4,0.9
2006年02月,3.59,-14.3,-3.2
2006年1月,4.19,54.0,58.1
2005年12月,2.72,9.7,15.3
2005年11月,2.48,13.2,26.5
2005年10月,2.19,28.1,21.7
2005年09月,1.71,4.3,4.9
2005年08月,1.64,10.1,10.1
2005年07月,1.49,14.6,23.1
2005年06月,1.3,-31.2,15.0
2005年05月,1.89,-28.9,18.1
2005年04月,2.66,-18.4,26.1
2005年03月,3.26,-12.1,17.7
2005年02月,3.71,40.0,34.9
2005年1月,2.65,12.3,-24.9
2004年12月,2.36,20.4,-18.1
2004年11月,1.96,8.9,-15.9
2004年10月,1.8,10.4,-7.2
2004年09月,1.63,9.4,6.5
2004年08月,1.49,23.1,8.0
2004年07月,1.21,7.1,36.0
2004年06月,1.13,-29.4,22.8
2004年05月,1.6,-24.2,15.1
2004年04月,2.11,-23.8,-11.3
2004年03月,2.77,0.7,-2.5
2004年02月,2.75,-22.1,-8.0
2004年1月,3.53,22.6,5.4
2003年12月,2.88,23.6,-5.1
2003年11月,2.33,20.1,20.3
2003年10月,1.94,26.8,50.0
2003年09月,1.53,10.9,30.6
2003年08月,1.38,55.1,9.5
2003年07月,0.89,-3.3,19.9
2003年06月,0.92,-33.8,24.0
2003年05月,1.39,-41.6,1.7
2003年04月,2.38,-16.2,-1.4
2003年03月,2.84,-5.0,0.5
2003年02月,2.99,-10.7,9.4
2003年1月,3.35,27.9,-24.5
