date,price,monthly,yearly
2025年02月,7.36,-0.7,-5.6
2025年1月,7.42,0.9,-5.2
2024年12月,7.35,-1.0,-5.1
2024年11月,7.42,0.1,-4.7
2024年10月,7.41,-1.3,-6.4
2024年09月,7.51,-1.7,-2.7
2024年08月,7.64,-0.8,1.3
2024年07月,7.7,0.0,2.5
2024年06月,7.7,-0.5,2.3
2024年05月,7.74,-0.5,2.1
2024年04月,7.78,-0.3,2.4
2024年03月,7.8,0.0,0.8
2024年02月,7.8,-0.4,1.8
2024年1月,7.83,1.2,1.0
2023年12月,7.74,-0.6,-1.0
2023年11月,7.79,-1.6,-0.4
2023年10月,7.92,2.6,0.3
2023年09月,7.72,2.4,-6.4
2023年08月,7.54,0.4,-9.2
2023年07月,7.51,-0.3,-10.6
2023年06月,7.53,-0.7,-10.9
2023年05月,7.58,-0.3,-9.9
2023年04月,7.6,-1.8,-6.6
2023年03月,7.74,1.0,-6.9
2023年02月,7.66,-1.2,-7.8
2023年1月,7.75,-0.9,-6.4
2022年12月,7.82,0.0,-2.4
2022年11月,7.82,-1.0,-1.3
2022年10月,7.9,-4.2,1.9
2022年09月,8.25,-0.6,11.0
2022年08月,8.3,-1.2,12.3
2022年07月,8.4,-0.6,13.1
2022年06月,8.45,0.5,15.1
2022年05月,8.41,3.3,14.6
2022年04月,8.14,-2.0,10.4
2022年03月,8.31,0.0,19.4
2022年02月,8.31,0.4,20.4
2022年1月,8.28,3.4,19.5
2021年12月,8.01,1.1,16.6
2021年11月,7.92,2.2,15.6
2021年10月,7.75,4.3,11.8
2021年09月,7.43,0.5,8.0
2021年08月,7.39,-0.5,7.4
2021年07月,7.43,1.2,8.5
2021年06月,7.34,0.0,7.2
2021年05月,7.34,-0.4,7.2
2021年04月,7.37,5.9,7.6
2021年03月,6.96,0.9,0.4
2021年02月,6.9,-0.4,-0.7
2021年1月,6.93,0.9,2.1
2020年12月,6.87,0.3,2.4
2020年11月,6.85,-1.2,2.5
2020年10月,6.93,0.7,2.1
2020年09月,6.88,0.0,-2.0
2020年08月,6.88,0.4,-3.9
2020年07月,6.85,0.0,-4.6
2020年06月,6.85,0.0,-4.9
2020年05月,6.85,0.0,-4.1
2020年04月,6.85,-1.2,-4.1
2020年03月,6.93,-0.3,-2.1
2020年02月,6.95,2.4,-1.6
2020年1月,6.79,1.2,-0.7
2019年12月,6.71,0.4,-5.1
2019年11月,6.68,-1.6,-5.2
2019年10月,6.79,-3.3,-3.8
2019年09月,7.02,-2.0,-1.5
2019年08月,7.16,-0.3,0.4
2019年07月,7.18,-0.3,0.0
2019年06月,7.2,0.8,0.1
2019年05月,7.14,0.0,0.3
2019年04月,7.14,0.8,0.8
2019年03月,7.08,0.3,0.0
2019年02月,7.06,3.2,0.1
2019年1月,6.84,-3.3,-3.0
2018年12月,7.07,0.3,0.0
2018年11月,7.05,-0.1,-1.1
2018年10月,7.06,-1.0,-1.1
