date,price,monthly,yearly
2025年02月,11.06,-0.9,-5.5
2025年01月,11.17,2.2,-3.3
2024年12月,10.93,-0.1,-4.8
2024年11月,10.94,-2.2,-5.3
2024年10月,11.19,-3.5,-4.9
2024年09月,11.59,0.0,-5.4
2024年08月,11.59,1.0,-6.2
2024年07月,11.48,2.0,-7.4
2024年06月,11.25,0.0,-7.2
2024年05月,11.25,-1.1,-4.8
2024年04月,11.38,-2.0,-1.5
2024年03月,11.61,-0.9,1.8
2024年02月,11.71,1.4,3.5
2024年01月,11.55,0.5,-0.1
2023年12月,11.49,-0.5,4.2
2023年11月,11.55,-1.9,4.1
2023年10月,11.77,-3.9,6.1
2023年09月,12.25,-0.9,8.3
2023年08月,12.36,-0.3,10.1
2023年07月,12.4,2.3,11.6
2023年06月,12.12,2.5,11.0
2023年05月,11.82,2.3,12.6
2023年04月,11.55,1.3,13.1
2023年03月,11.4,0.8,14.6
2023年02月,11.31,-2.2,16.5
2023年01月,11.56,4.8,18.7
2022年12月,11.03,-0.5,17.1
2022年11月,11.09,0.0,19.5
2022年10月,11.09,-1.9,19.2
2022年09月,11.31,0.7,19.4
2022年08月,11.23,1.1,17.8
2022年07月,11.11,1.7,17.4
2022年06月,10.92,4.0,16.9
2022年05月,10.5,2.8,11.7
2022年04月,10.21,2.6,6.4
2022年03月,9.95,2.5,1.5
2022年02月,9.71,-0.3,-2.0
2022年01月,9.74,3.4,-0.7
2021年12月,9.42,1.5,-2.9
2021年11月,9.28,-0.2,-3.9
2021年10月,9.3,-1.8,-4.7
2021年09月,9.47,-0.6,-6.0
2021年08月,9.53,0.7,-7.0
2021年07月,9.46,1.3,-8.2
2021年06月,9.34,-0.6,-7.8
2021年05月,9.4,-2.1,-6.6
2021年04月,9.6,-2.0,-4.5
2021年03月,9.8,-1.1,-3.6
2021年02月,9.91,1.0,-3.9
2021年01月,9.81,1.1,-2.4
2020年12月,9.7,0.4,-1.6
2020年11月,9.66,-1.0,-4.1
2020年10月,9.76,-3.1,-11.7
2020年09月,10.07,-1.8,-21.9
2020年08月,10.25,-0.5,-33.9
2020年07月,10.3,1.7,-36.1
2020年06月,10.13,0.7,-35.0
2020年05月,10.06,0.1,-25.9
2020年04月,10.05,-1.2,-12.5
2020年03月,10.17,-1.4,-6.4
2020年02月,10.31,2.6,-3.4
2020年01月,10.05,1.9,-3.8
2019年12月,9.86,-2.1,-1.5
2019年11月,10.07,-8.9,2.0
2019年10月,11.05,-14.3,11.4
2019年09月,12.89,-16.9,27.6
2019年08月,15.51,-3.8,56.2
2019年07月,16.12,3.5,67.9
2019年06月,15.58,14.8,67.5
2019年05月,13.57,18.1,45.9
2019年04月,11.49,5.8,24.8
2019年03月,10.86,1.8,16.9
2019年02月,10.67,2.1,12.1
2019年01月,10.45,4.4,13.0
2018年12月,10.01,1.4,10.0
2018年11月,9.87,-0.5,9.4
2018年10月,9.92,-1.8,8.3
2018年09月,10.1,1.7,6.9
2018年08月,9.93,3.4,3.2
2018年07月,9.6,3.2,-0.5
2018年06月,9.3,0.0,-2.7
2018年05月,9.3,1.0,-0.9
2018年04月,9.21,-0.9,-0.4
2018年03月,9.29,-2.4,2.7
2018年02月,9.52,2.9,6.2
2018年01月,9.25,1.6,1.9
2017年12月,9.1,0.9,4.2
2017年11月,9.02,-1.5,3.7
2017年10月,9.16,-3.1,2.8
2017年09月,9.45,-1.8,1.8
2017年08月,9.62,-0.3,2.0
2017年07月,9.65,0.9,1.9
2017年06月,9.56,1.9,2.4
2017年05月,9.38,1.4,4.0
2017年04月,9.25,2.2,3.1
2017年03月,9.05,1.0,-1.7
2017年02月,8.96,-1.3,-6.1
2017年01月,9.08,4.0,-4.7
2016年12月,8.73,0.3,-7.9
2016年11月,8.7,-2.4,-7.7
2016年10月,8.91,-4.0,-6.9
2016年09月,9.28,-1.6,-8.3
2016年08月,9.43,-0.4,-11.0
2016年07月,9.47,1.4,-12.5
2016年06月,9.34,3.5,-13.5
2016年05月,9.02,0.6,-16.2
2016年04月,8.97,-2.6,-17.0
2016年03月,9.21,-3.5,-14.9
2016年02月,9.54,0.1,-13.4
2016年01月,9.53,0.5,-9.3
2015年12月,9.48,0.5,-8.1
2015年11月,9.43,-1.5,-6.1
2015年10月,9.57,-5.4,-4.6
2015年09月,10.12,-4.4,-3.6
2015年08月,10.59,-2.1,-4.2
2015年07月,10.82,0.2,-3.7
2015年06月,10.8,0.4,-1.2
2015年05月,10.76,-0.5,4.9
2015年04月,10.81,-0.1,13.4
2015年03月,10.82,-1.7,16.8
2015年02月,11.01,4.8,20.1
2015年01月,10.51,1.9,15.2
2014年12月,10.31,2.7,18.0
2014年11月,10.04,0.1,16.2
2014年10月,10.03,-4.5,14.6
2014年09月,10.5,-5.0,14.8
2014年08月,11.05,-1.7,20.2
2014年07月,11.24,2.8,21.6
2014年06月,10.93,6.5,19.8
2014年05月,10.26,7.7,18.6
2014年04月,9.53,2.9,14.4
2014年03月,9.26,1.0,11.2
2014年02月,9.17,0.5,9.7
2014年01月,9.12,4.3,11.1
2013年12月,8.74,1.2,8.0
2013年11月,8.64,-1.3,6.1
2013年10月,8.75,-4.4,4.3
2013年09月,9.15,-0.4,6.6
2013年08月,9.19,-0.5,3.0
2013年07月,9.24,1.3,2.2
2013年06月,9.12,5.4,2.8
2013年05月,8.65,3.8,4.3
2013年04月,8.33,0.0,0.6
2013年03月,8.33,-0.4,1.1
2013年02月,8.36,1.8,2.1
2013年01月,8.21,1.5,-0.7
2012年12月,8.09,-0.6,2.7
2012年11月,8.14,-3.0,6.4
2012年10月,8.39,-2.2,7.7
2012年09月,8.58,-3.8,7.1
2012年08月,8.92,-1.3,8.3
2012年07月,9.04,1.9,4.8
2012年06月,8.87,7.0,2.4
2012年05月,8.29,0.1,-3.7
2012年04月,8.28,0.5,-2.8
2012年03月,8.24,0.6,-1.9
2012年02月,8.19,-1.0,-1.9
2012年01月,8.27,4.9,2.6
2011年12月,7.88,3.0,6.1
2011年11月,7.65,-1.8,6.5
2011年10月,7.79,-2.7,14.2
2011年09月,8.01,-2.8,14.3
2011年08月,8.24,-4.5,13.0
2011年07月,8.63,-0.3,20.2
2011年06月,8.66,0.6,24.2
2011年05月,8.61,1.1,31.9
2011年04月,8.52,1.4,35.7
2011年03月,8.4,0.6,37.5
2011年02月,8.35,3.6,37.6
2011年01月,8.06,8.5,40.9
2010年12月,7.43,3.5,35.3
2010年11月,7.18,5.3,31.3
2010年10月,6.82,-2.7,22.0
2010年09月,7.01,-3.8,15.5
2010年08月,7.29,1.5,8.8
2010年07月,7.18,3.0,-1.4
2010年06月,6.97,6.7,1.6
2010年05月,6.53,4.0,7.9
2010年04月,6.28,2.8,19.4
2010年03月,6.11,0.7,24.9
2010年02月,6.07,6.1,25.2
2010年01月,5.72,4.2,17.9
2009年12月,5.49,0.4,14.9
2009年11月,5.47,-2.1,11.6
2009年10月,5.59,-7.9,7.3
2009年09月,6.07,-9.4,12.2
2009年08月,6.7,-8.0,19.9
2009年07月,7.28,6.1,25.5
2009年06月,6.86,13.4,19.7
2009年05月,6.05,15.0,10.2
2009年04月,5.26,7.6,-3.1
2009年03月,4.89,0.8,-6.9
2009年02月,4.85,0.0,-8.0
2009年01月,4.85,1.5,-3.8
2008年12月,4.78,-2.4,-0.2
2008年11月,4.9,-6.0,4.5
2008年10月,5.21,-3.7,12.8
2008年09月,5.41,-3.2,13.7
2008年08月,5.59,-3.6,12.7
2008年07月,5.8,1.2,15.5
2008年06月,5.73,4.4,20.6
2008年05月,5.49,1.1,21.2
