date,price,monthly,yearly
2025年02月,2.94,-0.2,-2.2
2025年1月,2.94,0.4,-2.1
2024年12月,2.93,-0.0,-3.0
2024年11月,2.93,0.0,-2.7
2024年10月,2.93,-0.7,-2.3
2024年09月,2.95,-0.3,-0.7
2024年08月,2.96,-0.3,0.0
2024年07月,2.97,-1.0,0.7
2024年06月,3.0,-0.3,1.4
2024年05月,3.01,0.3,1.7
2024年04月,3.0,-0.3,1.4
2024年03月,3.01,0.3,1.7
2024年02月,3.0,-0.3,1.4
2024年1月,3.01,-0.3,1.7
2023年12月,3.02,0.3,2.4
2023年11月,3.01,0.3,2.0
2023年10月,3.0,1.0,2.4
2023年09月,2.97,0.3,2.8
2023年08月,2.96,0.3,1.7
2023年07月,2.95,-0.3,1.4
2023年06月,2.96,0.0,1.4
2023年05月,2.96,0.0,1.7
2023年04月,2.96,0.0,2.4
2023年03月,2.96,0.0,2.1
2023年02月,2.96,0.0,2.4
2023年1月,2.96,0.3,2.1
2022年12月,2.95,0.0,1.7
2022年11月,2.95,0.7,2.1
2022年10月,2.93,1.4,1.7
2022年09月,2.89,-0.7,-0.3
2022年08月,2.91,0.0,-0.7
2022年07月,2.91,-0.3,-1.4
2022年06月,2.92,0.3,-1.7
2022年05月,2.91,0.7,-2.3
2022年04月,2.89,-0.3,-3.3
2022年03月,2.9,0.3,-2.4
2022年02月,2.89,-0.3,-3.7
2022年1月,2.9,0.0,-2.7
2021年12月,2.9,0.3,-1.7
2021年11月,2.89,0.3,-1.4
2021年10月,2.88,-0.7,0.0
2021年09月,2.9,-1.0,2.5
2021年08月,2.93,-0.7,3.2
2021年07月,2.95,-0.7,4.2
2021年06月,2.97,-0.3,4.6
2021年05月,2.98,-0.3,4.9
2021年04月,2.99,0.7,6.0
2021年03月,2.97,-1.0,6.8
2021年02月,3.0,0.7,7.9
2021年1月,2.98,1.0,8.0
2020年12月,2.95,0.7,7.3
2020年11月,2.93,1.7,5.8
2020年10月,2.88,1.8,4.7
2020年09月,2.83,-0.4,2.9
2020年08月,2.84,0.4,3.3
2020年07月,2.83,-0.4,2.9
2020年06月,2.84,0.0,2.9
2020年05月,2.84,0.7,2.2
2020年04月,2.82,1.4,1.8
2020年03月,2.78,0.0,0.4
2020年02月,2.78,0.7,0.7
2020年1月,2.76,0.4,-0.4
2019年12月,2.75,-0.7,-0.7
2019年11月,2.77,0.7,0.0
2019年10月,2.75,0.0,0.0
2019年09月,2.75,0.0,-0.4
2019年08月,2.75,0.0,-0.7
2019年07月,2.75,-0.4,-1.1
2019年06月,2.76,-0.7,-2.1
2019年05月,2.78,0.4,-1.8
2019年04月,2.77,0.0,-2.8
2019年03月,2.77,0.4,-3.1
2019年02月,2.76,-0.4,-3.5
2019年1月,2.77,0.0,-3.1
2018年12月,2.77,0.0,-3.1
2018年11月,2.77,0.7,-2.1
2018年10月,2.75,-0.4,-1.8
2018年09月,2.76,-0.4,-1.4
2018年08月,2.77,-0.4,-1.4
2018年07月,2.78,-1.4,-2.1
2018年06月,2.82,-0.4,-1.4
2018年05月,2.83,-0.7,-0.7
2018年04月,2.85,-0.3,0.4
2018年03月,2.86,0.0,1.1
2018年02月,2.86,0.0,1.4
2018年1月,2.86,0.0,2.1
2017年12月,2.86,1.1,4.0
2017年11月,2.83,1.1,3.3
2017年10月,2.8,0.0,2.6
2017年09月,2.8,-0.4,2.2
2017年08月,2.81,-1.1,1.8
2017年07月,2.84,-0.7,2.9
2017年06月,2.86,0.4,3.2
2017年05月,2.85,0.4,2.5
2017年04月,2.84,0.4,2.2
2017年03月,2.83,0.4,1.1
2017年02月,2.82,0.7,0.7
2017年1月,2.8,1.8,0.4
2016年12月,2.75,0.4,0.4
2016年11月,2.74,0.4,-0.7
2016年10月,2.73,-0.4,-1.8
2016年09月,2.74,-0.7,-1.4
2016年08月,2.76,0.0,-2.5
2016年07月,2.76,-0.4,-2.5
2016年06月,2.77,-0.4,-2.1
2016年05月,2.78,0.0,-1.8
2016年04月,2.78,-0.7,-1.4
2016年03月,2.8,0.0,-0.4
2016年02月,2.8,0.4,0.4
2016年1月,2.79,1.8,0.0
2015年12月,2.74,-0.7,-1.4
2015年11月,2.76,-0.7,-0.4
2015年10月,2.78,0.0,0.7
2015年09月,2.78,-1.8,0.4
2015年08月,2.83,0.0,1.8
2015年07月,2.83,0.0,2.2
2015年06月,2.83,0.0,2.2
2015年05月,2.83,0.4,2.5
2015年04月,2.82,0.4,2.2
2015年03月,2.81,0.7,1.8
2015年02月,2.79,0.0,1.8
2015年1月,2.79,0.4,2.6
2014年12月,2.78,0.4,3.0
2014年11月,2.77,0.4,3.0
2014年10月,2.76,-0.4,3.0
2014年09月,2.77,-0.4,3.7
2014年08月,2.78,0.4,4.1
2014年07月,2.77,0.0,3.7
2014年06月,2.77,0.4,3.0
2014年05月,2.76,0.0,1.5
2014年04月,2.76,0.0,0.7
2014年03月,2.76,0.7,0.4
2014年02月,2.74,0.7,-0.7
2014年1月,2.72,0.7,-1.1
2013年12月,2.7,0.4,-1.8
2013年11月,2.69,0.4,-1.8
2013年10月,2.68,0.4,-2.2
2013年09月,2.67,0.0,-2.6
2013年08月,2.67,0.0,-2.2
2013年07月,2.67,-0.7,-2.2
2013年06月,2.69,-1.1,-2.2
2013年05月,2.72,-0.7,-0.4
2013年04月,2.74,-0.4,0.4
2013年03月,2.75,-0.4,1.5
2013年02月,2.76,0.4,2.6
2013年1月,2.75,0.0,3.4
2012年12月,2.75,0.4,5.0
2012年11月,2.74,0.0,5.0
2012年10月,2.74,0.0,5.4
2012年09月,2.74,0.4,7.0
2012年08月,2.73,0.0,7.5
2012年07月,2.73,-0.7,7.9
2012年06月,2.75,0.7,9.1
2012年05月,2.73,0.0,9.6
2012年04月,2.73,0.7,11.0
2012年03月,2.71,0.7,11.1
2012年02月,2.69,1.1,13.5
2012年1月,2.66,1.5,13.7
2011年12月,2.62,0.4,12.0
2011年11月,2.61,0.4,13.5
2011年10月,2.6,1.6,19.3
2011年09月,2.56,0.8,19.1
2011年08月,2.54,0.4,19.8
2011年07月,2.53,0.4,18.2
2011年06月,2.52,1.2,18.3
2011年05月,2.49,1.2,18.0
2011年04月,2.46,0.8,18.8
2011年03月,2.44,3.0,20.8
2011年02月,2.37,1.3,19.7
2011年1月,2.34,0.0,18.2
2010年12月,2.34,1.7,19.4
2010年11月,2.3,5.5,18.6
2010年10月,2.18,1.4,12.4
2010年09月,2.15,1.4,10.8
2010年08月,2.12,-0.9,8.7
2010年07月,2.14,0.5,9.7
2010年06月,2.13,0.9,8.7
2010年05月,2.11,1.9,8.2
2010年04月,2.07,2.5,7.3
2010年03月,2.02,2.0,5.2
2010年02月,1.98,0.0,4.2
2010年1月,1.98,1.0,5.3
2009年12月,1.96,1.0,3.7
2009年11月,1.94,0.0,2.1
2009年10月,1.94,0.0,1.0
2009年09月,1.94,-0.5,0.0
2009年08月,1.95,0.0,1.0
2009年07月,1.95,-0.5,1.6
2009年06月,1.96,0.5,2.6
2009年05月,1.95,1.0,3.2
2009年04月,1.93,0.5,4.9
2009年03月,1.92,1.1,4.9
2009年02月,1.9,1.1,5.6
2009年1月,1.88,-0.5,5.0
2008年12月,1.89,-0.5,7.4
2008年11月,1.9,-1.0,10.5
2008年10月,1.92,-1.0,12.3
2008年09月,1.94,0.5,13.5
2008年08月,1.93,0.5,14.2
2008年07月,1.92,0.5,14.3
2008年06月,1.91,1.1,15.1
2008年05月,1.89,2.7,15.2
2008年04月,1.84,0.5,15.7
2008年03月,1.83,1.7,13.0
2008年02月,1.8,0.6,11.8
2008年1月,1.79,1.7,11.9
2007年12月,1.76,2.3,11.4
2007年11月,1.72,0.6,12.4
