date,price,monthly,yearly
2025年02月,5.24,-0.1,-1.6
2025年1月,5.24,-0.1,-1.8
2024年12月,5.25,-0.1,-1.7
2024年11月,5.25,-0.2,-1.5
2024年10月,5.26,-0.2,-1.3
2024年09月,5.27,-0.2,-0.9
2024年08月,5.28,-0.2,-0.6
2024年07月,5.29,-0.2,-0.6
2024年06月,5.3,0.0,-0.4
2024年05月,5.3,0.0,-0.2
2024年04月,5.3,-0.4,0.0
2024年03月,5.32,0.0,0.4
2024年02月,5.32,-0.4,0.6
2024年1月,5.34,0.0,0.6
2023年12月,5.34,0.2,1.1
2023年11月,5.33,0.0,0.0
2023年10月,5.33,0.2,0.8
2023年09月,5.32,0.2,1.5
2023年08月,5.31,-0.2,0.8
2023年07月,5.32,0.0,1.3
2023年06月,5.32,0.2,1.5
2023年05月,5.31,0.2,1.7
2023年04月,5.3,0.0,1.3
2023年03月,5.3,0.2,1.7
2023年02月,5.29,-0.4,1.5
2023年1月,5.31,0.6,1.9
2022年12月,5.28,-0.9,1.3
2022年11月,5.33,0.8,2.3
2022年10月,5.29,1.0,1.5
2022年09月,5.24,-0.6,0.4
2022年08月,5.27,0.4,1.5
2022年07月,5.25,0.2,1.2
2022年06月,5.24,0.4,0.6
2022年05月,5.22,-0.2,0.0
2022年04月,5.23,0.4,0.0
2022年03月,5.21,0.0,-0.4
2022年02月,5.21,0.0,-0.4
2022年1月,5.21,0.0,0.2
2021年12月,5.21,0.0,0.8
2021年11月,5.21,0.0,1.4
2021年10月,5.21,-0.2,1.6
2021年09月,5.22,0.6,2.6
2021年08月,5.19,0.0,1.6
2021年07月,5.19,-0.4,1.6
2021年06月,5.21,-0.2,2.0
2021年05月,5.22,-0.2,2.2
2021年04月,5.23,0.0,3.0
2021年03月,5.23,0.0,3.2
2021年02月,5.23,0.6,2.8
2021年1月,5.2,0.6,3.4
2020年12月,5.17,0.6,3.0
2020年11月,5.14,0.2,2.2
2020年10月,5.13,0.8,1.8
2020年09月,5.09,-0.4,1.0
2020年08月,5.11,0.0,1.4
2020年07月,5.11,0.0,1.4
2020年06月,5.11,0.0,1.4
2020年05月,5.11,0.6,1.4
2020年04月,5.08,0.2,0.6
2020年03月,5.07,-0.4,0.4
2020年02月,5.09,1.2,0.8
2020年1月,5.03,0.2,0.0
2019年12月,5.02,-0.2,0.0
2019年11月,5.03,-0.2,0.2
2019年10月,5.04,0.0,0.2
2019年09月,5.04,0.0,0.2
2019年08月,5.04,0.0,0.6
2019年07月,5.04,0.0,0.4
2019年06月,5.04,0.0,0.2
2019年05月,5.04,-0.2,0.4
2019年04月,5.05,0.0,0.2
2019年03月,5.05,0.0,0.2
2019年02月,5.05,0.4,0.6
2019年1月,5.03,0.2,0.4
2018年12月,5.02,0.0,1.0
2018年11月,5.02,-0.2,1.2
2018年10月,5.03,0.0,1.8
2018年09月,5.03,0.4,1.6
2018年08月,5.01,-0.2,1.2
2018年07月,5.02,-0.2,1.2
2018年06月,5.03,0.2,1.6
2018年05月,5.02,-0.4,1.6
2018年04月,5.04,0.0,2.0
2018年03月,5.04,0.4,2.6
2018年02月,5.02,0.2,1.6
2018年1月,5.01,0.8,1.4
2017年12月,4.97,0.2,1.4
2017年11月,4.96,0.4,1.4
2017年10月,4.94,-0.2,0.8
2017年09月,4.95,0.0,1.0
2017年08月,4.95,-0.2,0.8
2017年07月,4.96,0.2,1.0
2017年06月,4.95,0.2,0.8
2017年05月,4.94,0.0,1.0
2017年04月,4.94,0.6,1.2
2017年03月,4.91,-0.6,0.6
2017年02月,4.94,0.0,1.2
2017年1月,4.94,0.8,1.2
2016年12月,4.9,0.2,1.0
2016年11月,4.89,-0.2,0.4
2016年10月,4.9,0.0,0.6
2016年09月,4.9,-0.2,0.2
2016年08月,4.91,0.0,0.2
2016年07月,4.91,0.0,0.2
2016年06月,4.91,0.4,0.4
2016年05月,4.89,0.2,0.0
2016年04月,4.88,0.0,0.0
2016年03月,4.88,0.0,0.0
2016年02月,4.88,0.0,0.8
2016年1月,4.88,0.6,0.8
2015年12月,4.85,-0.4,0.2
2015年11月,4.87,0.0,0.6
2015年10月,4.87,-0.4,1.0
2015年09月,4.89,-0.2,1.5
2015年08月,4.9,0.0,1.4
2015年07月,4.9,0.2,1.7
2015年06月,4.89,0.0,1.5
2015年05月,4.89,0.2,1.9
2015年04月,4.88,0.0,2.1
2015年03月,4.88,0.8,2.3
2015年02月,4.84,0.0,1.9
2015年1月,4.84,0.0,2.1
2014年12月,4.84,0.0,2.5
2014年11月,4.84,0.4,3.0
2014年10月,4.82,0.0,2.8
2014年09月,4.82,-0.2,3.0
2014年08月,4.83,0.2,3.6
2014年07月,4.82,0.0,3.9
2014年06月,4.82,0.4,3.9
2014年05月,4.8,0.4,3.2
2014年04月,4.78,0.2,2.4
2014年03月,4.77,0.4,1.9
2014年02月,4.75,0.2,1.3
2014年1月,4.74,0.4,1.3
2013年12月,4.72,0.4,0.9
2013年11月,4.7,0.2,0.9
2013年10月,4.69,0.2,0.4
2013年09月,4.68,0.4,0.2
