date,price,monthly,yearly
2025年02月,12.54,-9.5,-13.6
2025年1月,13.86,14.0,11.9
2024年12月,12.16,4.5,-2.4
2024年11月,11.63,-1.3,-2.8
2024年10月,11.78,-8.8,3.2
2024年09月,12.92,5.2,16.8
2024年08月,12.28,24.9,18.4
2024年07月,9.83,9.7,-3.2
2024年06月,8.96,-5.2,-10.3
2024年05月,9.45,-23.4,-9.0
2024年04月,12.34,-15.1,-0.5
2024年03月,14.54,0.1,1.9
2024年02月,14.53,17.3,-10.1
2024年1月,12.39,-0.6,-32.5
2023年12月,12.46,4.1,-8.7
2023年11月,11.97,4.8,13.2
2023年10月,11.42,3.3,0.2
2023年09月,11.06,6.7,-1.4
2023年08月,10.37,2.2,-5.0
2023年07月,10.15,1.6,1.8
2023年06月,9.99,-3.8,16.4
2023年05月,10.39,-16.2,7.3
2023年04月,12.4,-13.1,-4.2
2023年03月,14.27,-11.8,-17.4
2023年02月,16.17,-11.9,4.1
2023年1月,18.35,34.4,26.6
2022年12月,13.65,29.1,10.5
2022年11月,10.57,-7.3,-21.3
2022年10月,11.4,1.6,-12.8
2022年09月,11.22,2.7,14.8
2022年08月,10.92,9.5,14.1
2022年07月,9.97,16.2,13.0
2022年06月,8.58,-11.4,4.0
2022年05月,9.68,-25.3,6.3
2022年04月,12.95,-25.1,24.4
2022年03月,17.28,11.3,34.4
2022年02月,15.53,7.1,7.3
2022年1月,14.5,17.4,15.4
2021年12月,12.35,-8.0,11.2
2021年11月,13.43,2.8,34.2
2021年10月,13.07,33.8,31.6
2021年09月,9.77,2.1,-1.3
2021年08月,9.57,8.5,-1.8
2021年07月,8.82,6.9,5.0
2021年06月,8.25,-9.4,-3.6
2021年05月,9.11,-12.5,0.3
2021年04月,10.41,-19.1,-9.8
2021年03月,12.86,-11.1,0.3
2021年02月,14.47,15.2,-1.9
2021年1月,12.56,13.1,-13.0
2020年12月,11.11,11.0,-7.5
2020年11月,10.01,0.8,3.1
2020年10月,9.93,0.3,10.8
2020年09月,9.9,1.5,17.9
2020年08月,9.75,16.1,15.2
2020年07月,8.4,-1.9,11.3
2020年06月,8.56,-5.7,9.5
2020年05月,9.08,-21.3,3.8
2020年04月,11.54,-10.0,9.6
2020年03月,12.82,-13.1,3.0
2020年02月,14.75,2.2,22.9
2020年1月,14.43,20.1,36.6
2019年12月,12.01,23.7,30.8
2019年11月,9.71,8.4,13.8
2019年10月,8.96,6.7,1.9
2019年09月,8.4,-0.7,-10.9
2019年08月,8.46,12.1,-1.3
2019年07月,7.55,-3.5,7.1
2019年06月,7.82,-10.6,20.7
2019年05月,8.75,-16.9,15.1
2019年04月,10.53,-15.4,9.5
2019年03月,12.45,3.7,9.0
2019年02月,12.0,13.6,-5.6
2019年1月,10.56,15.0,-2.7
2018年12月,9.18,7.6,-4.8
2018年11月,8.53,-3.0,-3.2
2018年10月,8.79,-6.8,2.6
2018年09月,9.43,10.0,24.9
2018年08月,8.57,21.6,19.2
2018年07月,7.05,8.8,2.9
2018年06月,6.48,-14.7,-1.8
2018年05月,7.6,-21.0,11.9
2018年04月,9.62,-15.8,4.5
2018年03月,11.42,-10.1,11.2
2018年02月,12.71,17.1,25.1
2018年1月,10.85,12.6,-4.5
2017年12月,9.64,9.4,3.2
2017年11月,8.81,2.8,8.2
2017年10月,8.57,13.5,15.0
2017年09月,7.55,5.0,6.5
2017年08月,7.19,5.0,15.0
2017年07月,6.85,3.8,23.4
2017年06月,6.6,-2.8,22.2
2017年05月,6.79,-26.3,0.1
2017年04月,9.21,-10.3,-7.0
2017年03月,10.27,1.1,-17.1
2017年02月,10.16,-10.6,-19.2
2017年1月,11.36,21.6,12.8
2016年12月,9.34,14.7,2.8
2016年11月,8.14,9.3,-2.3
2016年10月,7.45,5.1,15.7
2016年09月,7.09,13.4,5.5
2016年08月,6.25,12.6,-9.2
2016年07月,5.55,2.8,-4.3
2016年06月,5.4,-20.4,-7.1
2016年05月,6.78,-31.5,-7.0
2016年04月,9.9,-20.1,6.6
2016年03月,12.39,-1.4,20.9
2016年02月,12.57,24.8,5.7
2016年1月,10.07,10.8,5.3
2015年12月,9.09,9.1,4.4
2015年11月,8.33,29.3,10.3
2015年10月,6.44,-4.2,2.5
2015年09月,6.72,-2.3,3.9
2015年08月,6.88,18.6,12.1
2015年07月,5.8,-0.2,10.1
2015年06月,5.81,-20.3,-5.1
2015年05月,7.29,-21.5,11.0
2015年04月,9.29,-9.4,5.3
2015年03月,10.25,-13.8,-8.8
2015年02月,11.89,24.4,5.3
2015年1月,9.56,9.8,-18.5
2014年12月,8.71,15.4,0.6
2014年11月,7.55,20.2,-0.8
2014年10月,6.28,-2.9,-13.0
2014年09月,6.47,5.4,-2.0
2014年08月,6.14,16.5,-3.8
2014年07月,5.27,-13.9,-13.2
2014年06月,6.12,-6.8,8.7
2014年05月,6.57,-25.5,-6.0
2014年04月,8.82,-21.5,-8.0
2014年03月,11.24,-0.4,20.6
2014年02月,11.29,-3.8,13.0
2014年1月,11.73,35.5,32.7
2013年12月,8.66,13.8,6.5
2013年11月,7.61,5.4,9.3
2013年10月,7.22,9.4,39.1
2013年09月,6.6,3.4,18.3
2013年08月,6.38,5.1,13.9
2013年07月,6.07,7.8,27.0
2013年06月,5.63,-19.5,21.3
2013年05月,6.99,-27.1,11.1
2013年04月,9.59,2.9,4.2
2013年03月,9.32,-6.7,-7.9
2013年02月,9.99,13.0,7.4
2013年1月,8.84,8.7,-11.2
2012年12月,8.13,16.8,4.5
2012年11月,6.96,34.1,22.5
2012年10月,5.19,-7.0,-4.2
2012年09月,5.58,-0.4,2.6
2012年08月,5.6,17.2,14.3
2012年07月,4.78,3.0,3.2
2012年06月,4.64,-26.2,1.5
2012年05月,6.29,-31.6,5.7
2012年04月,9.2,-9.1,32.8
2012年03月,10.12,8.8,15.0
2012年02月,9.3,-6.5,12.7
2012年1月,9.95,27.9,37.4
2011年12月,7.78,37.0,44.1
2011年11月,5.68,4.8,1.4
2011年10月,5.42,-0.4,4.6
2011年09月,5.44,11.0,17.7
2011年08月,4.9,5.8,10.9
2011年07月,4.63,1.3,19.6
2011年06月,4.57,-23.2,19.3
2011年05月,5.95,-14.1,-0.7
2011年04月,6.93,-21.3,3.0
2011年03月,8.8,6.7,20.7
2011年02月,8.25,14.0,15.7
2011年1月,7.24,34.1,20.7
2010年12月,5.4,-3.6,-2.0
2010年11月,5.6,8.1,15.7
2010年10月,5.18,12.1,35.2
2010年09月,4.62,4.5,19.1
2010年08月,4.42,14.2,33.1
2010年07月,3.87,1.0,27.3
2010年06月,3.83,-36.1,21.6
2010年05月,5.99,-11.0,23.0
2010年04月,6.73,-7.7,19.8
2010年03月,7.29,2.2,15.5
2010年02月,7.13,18.8,13.5
2010年1月,6.0,8.9,-7.8
2009年12月,5.51,13.8,14.3
2009年11月,4.84,26.4,16.6
2009年10月,3.83,-1.3,8.5
2009年09月,3.88,16.9,20.5
2009年08月,3.32,9.2,8.1
2009年07月,3.04,-3.5,9.0
2009年06月,3.15,-35.3,8.6
2009年05月,4.87,-13.3,16.8
2009年04月,5.62,-10.9,2.6
2009年03月,6.31,0.5,-5.5
2009年02月,6.28,-3.5,-1.3
2009年1月,6.51,35.1,33.1
2008年12月,4.82,16.1,6.4
