date,price,monthly,yearly
2025年02月,7.47,-5.9,-12.7
2025年01月,7.93,4.5,-10.4
2024年12月,7.59,-7.6,-12.2
2024年11月,8.22,-13.6,17.6
2024年10月,9.51,-1.8,48.6
2024年09月,9.68,34.4,62.1
2024年08月,7.2,27.0,26.3
2024年07月,5.67,8.4,-6.0
2024年06月,5.23,-23.1,-13.4
2024年05月,6.8,-3.5,3.0
2024年04月,7.05,-0.4,-13.6
2024年03月,7.08,-17.3,-21.9
2024年02月,8.56,-3.3,7.3
2024年01月,8.85,2.3,3.8
2023年12月,8.65,23.7,19.1
2023年11月,6.99,9.2,-4.6
2023年10月,6.4,7.2,-24.2
2023年09月,5.97,4.7,-7.6
2023年08月,5.7,-5.5,-3.9
2023年07月,6.03,-0.2,-1.5
2023年06月,6.04,-8.5,9.4
2023年05月,6.6,-19.1,-8.7
2023年04月,8.16,-10.0,-7.1
2023年03月,9.07,13.7,-5.6
2023年02月,7.98,-6.4,-23.5
2023年01月,8.53,17.5,-23.8
2022年12月,7.26,-1.0,-13.8
2022年11月,7.33,-13.2,-7.2
2022年10月,8.44,30.7,11.5
2022年09月,6.46,8.9,2.9
2022年08月,5.93,-3.1,1.0
2022年07月,6.12,10.9,24.6
2022年06月,5.52,-23.7,14.1
2022年05月,7.23,-17.7,35.4
2022年04月,8.78,-8.6,51.9
2022年03月,9.61,-7.9,62.3
2022年02月,10.43,-6.8,62.5
2022年01月,11.19,32.9,53.5
2021年12月,8.42,6.6,18.9
2021年11月,7.9,4.4,16.9
2021年10月,7.57,20.5,8.1
2021年09月,6.28,7.0,-3.8
2021年08月,5.87,19.6,-3.6
2021年07月,4.91,1.4,-15.6
2021年06月,4.84,-9.4,-10.5
2021年05月,5.34,-7.6,-8.4
2021年04月,5.78,-2.4,-31.4
2021年03月,5.92,-7.8,-30.7
2021年02月,6.42,-11.9,-39.7
2021年01月,7.29,3.0,-21.4
2020年12月,7.08,4.7,-16.9
2020年11月,6.76,-3.4,10.5
2020年10月,7.0,7.2,19.5
2020年09月,6.53,7.2,29.3
2020年08月,6.09,4.6,24.5
2020年07月,5.82,7.6,25.7
2020年06月,5.41,-7.2,14.1
2020年05月,5.83,-30.8,-8.6
2020年04月,8.42,-1.4,12.1
2020年03月,8.54,-19.8,2.8
2020年02月,10.65,14.8,26.6
2020年01月,9.28,8.9,15.1
2019年12月,8.52,39.2,15.0
2019年11月,6.12,4.4,-12.6
2019年10月,5.86,16.0,-24.8
2019年09月,5.05,3.3,-26.2
2019年08月,4.89,5.6,-9.4
2019年07月,4.63,-2.3,-6.7
2019年06月,4.74,-25.7,11.0
2019年05月,6.38,-15.0,24.6
2019年04月,7.51,-9.6,25.6
2019年03月,8.31,-1.2,51.6
2019年02月,8.41,4.3,35.9
2019年01月,8.06,8.8,42.7
2018年12月,7.41,5.9,34.7
2018年11月,7.0,-10.1,30.6
2018年10月,7.79,13.9,37.1
2018年09月,6.84,26.7,31.5
2018年08月,5.4,8.9,7.8
2018年07月,4.96,16.2,5.1
2018年06月,4.27,-16.6,-15.1
2018年05月,5.12,-14.4,-2.8
2018年04月,5.98,9.1,0.8
2018年03月,5.48,-11.5,-17.1
2018年02月,6.19,9.6,-14.7
2018年01月,5.65,2.7,-31.0
2017年12月,5.5,2.6,-17.5
2017年11月,5.36,-5.6,-11.4
2017年10月,5.68,9.2,-2.9
2017年09月,5.2,3.8,0.8
2017年08月,5.01,6.1,26.2
2017年07月,4.72,-6.2,27.6
2017年06月,5.03,-4.6,33.8
2017年05月,5.27,-11.1,10.5
2017年04月,5.93,-10.3,-12.7
2017年03月,6.61,-9.0,-14.3
2017年02月,7.26,-11.4,-4.2
2017年01月,8.19,22.8,13.8
2016年12月,6.67,10.2,2.6
2016年11月,6.05,3.4,-3.5
2016年10月,5.85,13.4,4.1
2016年09月,5.16,30.0,-4.1
2016年08月,3.97,7.3,-20.0
2016年07月,3.7,-1.6,-13.3
2016年06月,3.76,-21.2,-6.2
2016年05月,4.77,-29.7,-2.3
2016年04月,6.79,-11.9,17.9
2016年03月,7.71,1.7,27.2
2016年02月,7.58,5.3,4.7
2016年01月,7.2,10.8,27.2
2015年12月,6.5,3.7,22.4
2015年11月,6.27,11.6,31.2
2015年10月,5.62,4.5,27.1
2015年09月,5.38,8.5,29.3
2015年08月,4.96,16.2,25.9
2015年07月,4.27,6.5,6.5
2015年06月,4.01,-17.8,-8.2
2015年05月,4.88,-15.3,-6.7
2015年04月,5.76,-5.0,-6.8
2015年03月,6.06,-16.3,-13.2
2015年02月,7.24,27.9,-5.1
2015年01月,5.66,6.6,-23.7
2014年12月,5.31,11.1,-15.4
2014年11月,4.78,8.1,-23.4
2014年10月,4.42,6.3,-28.5
2014年09月,4.16,5.6,-15.4
2014年08月,3.94,-1.7,-5.3
2014年07月,4.01,-8.2,-1.0
2014年06月,4.37,-16.4,7.1
2014年05月,5.23,-15.4,10.6
2014年04月,6.18,-11.5,-1.1
2014年03月,6.98,-8.5,20.8
2014年02月,7.63,2.8,25.7
2014年01月,7.42,18.2,21.4
2013年12月,6.28,0.6,15.0
2013年11月,6.24,1.0,31.4
2013年10月,6.18,25.6,40.1
2013年09月,4.92,18.3,-1.6
2013年08月,4.16,2.7,-9.8
2013年07月,4.05,-0.7,8.0
2013年06月,4.08,-13.7,7.9
2013年05月,4.73,-24.3,-8.5
2013年04月,6.25,8.1,-6.6
2013年03月,5.78,-4.8,-10.0
2013年02月,6.07,-0.7,2.5
2013年01月,6.11,11.9,5.0
2012年12月,5.46,14.9,18.2
2012年11月,4.75,7.7,15.6
2012年10月,4.41,-11.8,10.0
2012年09月,5.0,8.5,33.0
2012年08月,4.61,22.9,32.9
2012年07月,3.75,-0.8,3.3
2012年06月,3.78,-26.9,7.7
2012年05月,5.17,-22.7,21.9
2012年04月,6.69,4.2,40.0
2012年03月,6.42,8.4,28.7
2012年02月,5.92,1.7,16.1
2012年01月,5.82,26.0,15.9
2011年12月,4.62,12.4,7.2
2011年11月,4.11,2.5,-12.7
2011年10月,4.01,6.6,-9.5
2011年09月,3.76,8.4,7.1
2011年08月,3.47,-4.4,8.8
2011年07月,3.63,3.4,41.8
2011年06月,3.51,-17.2,25.4
2011年05月,4.24,-11.3,6.0
2011年04月,4.78,-4.2,-2.2
2011年03月,4.99,-2.2,4.8
2011年02月,5.1,1.6,-2.7
2011年01月,5.02,16.5,8.7
2010年12月,4.31,-8.5,-1.6
2010年11月,4.71,6.3,25.9
2010年10月,4.43,26.2,36.3
2010年09月,3.51,10.0,10.4
2010年08月,3.19,24.6,10.4
2010年07月,2.56,-8.6,2.8
2010年06月,2.8,-30.0,5.7
2010年05月,4.0,-18.2,13.0
2010年04月,4.89,2.7,19.3
2010年03月,4.76,-9.2,13.9
2010年02月,5.24,13.4,26.6
2010年01月,4.62,5.5,6.7
2009年12月,4.38,17.1,34.8
2009年11月,3.74,15.1,24.7
2009年10月,3.25,2.2,18.6
2009年09月,3.18,10.0,38.9
2009年08月,2.89,16.1,39.6
2009年07月,2.49,-6.0,22.1
2009年06月,2.65,-25.1,13.7
2009年05月,3.54,-13.7,6.3
2009年04月,4.1,-1.9,0.7
2009年03月,4.18,1.0,-0.5
2009年02月,4.14,-4.4,-7.2
2009年01月,4.33,33.2,12.8
2008年12月,3.25,8.3,-5.0
2008年11月,3.0,9.5,-7.7
2008年10月,2.74,19.7,-13.8
2008年09月,2.29,10.6,-16.1
2008年08月,2.07,1.5,-22.5
2008年07月,2.04,-12.4,-10.9
2008年06月,2.33,-30.0,11.0
2008年05月,3.33,-18.2,25.2
