date,price,monthly,yearly
2025年02月,7.36,2.0,10.4
2025年1月,7.21,3.6,9.5
2024年12月,6.96,-4.0,3.3
2024年11月,7.25,-6.2,7.1
2024年10月,7.73,-0.1,12.2
2024年09月,7.74,3.3,9.3
2024年08月,7.49,6.1,5.3
2024年07月,7.06,5.7,-0.8
2024年06月,6.68,0.6,-11.6
2024年05月,6.64,3.8,-13.9
2024年04月,6.4,-3.9,-17.4
2024年03月,6.66,-0.1,-14.1
2024年02月,6.67,1.2,-10.7
2024年1月,6.59,-2.2,-14.5
2023年12月,6.74,-0.4,-4.3
2023年11月,6.77,-1.7,-0.4
2023年10月,6.89,-2.7,1.9
2023年09月,7.08,-0.4,5.8
2023年08月,7.11,-0.1,4.4
2023年07月,7.12,-5.8,3.0
2023年06月,7.56,-1.9,3.4
2023年05月,7.71,-0.5,-1.2
2023年04月,7.75,0.0,-1.1
2023年03月,7.75,3.7,2.1
2023年02月,7.47,-3.1,-1.8
2023年1月,7.71,9.5,3.1
2022年12月,7.04,3.5,5.9
2022年11月,6.8,0.6,7.8
2022年10月,6.76,1.0,15.8
2022年09月,6.69,-1.8,13.0
2022年08月,6.81,-1.4,10.2
2022年07月,6.91,-5.5,12.9
2022年06月,7.31,-6.3,23.1
2022年05月,7.8,-0.5,26.6
2022年04月,7.84,3.3,25.4
2022年03月,7.59,-0.3,15.5
2022年02月,7.61,1.7,15.3
2022年1月,7.48,12.5,25.3
2021年12月,6.65,5.4,15.5
2021年11月,6.31,8.0,8.4
2021年10月,5.84,-1.4,-1.2
2021年09月,5.92,-4.2,-2.0
2021年08月,6.18,1.0,5.8
2021年07月,6.12,3.0,4.8
2021年06月,5.94,-3.6,-2.0
2021年05月,6.16,-1.4,-5.4
2021年04月,6.25,-4.9,-8.6
2021年03月,6.57,-0.5,-6.7
2021年02月,6.6,10.6,-5.3
2021年1月,5.97,3.6,-5.2
2020年12月,5.76,-1.0,-2.7
2020年11月,5.82,-1.5,-2.7
2020年10月,5.91,-2.2,-5.7
2020年09月,6.04,3.4,-5.9
2020年08月,5.84,0.0,-7.7
2020年07月,5.84,-3.6,-7.6
2020年06月,6.06,-6.9,-8.6
2020年05月,6.51,-4.8,-4.0
2020年04月,6.84,-2.8,1.3
2020年03月,7.04,1.0,4.5
2020年02月,6.97,10.6,2.3
2020年1月,6.3,6.4,-8.3
2019年12月,5.92,-1.0,-13.7
2019年11月,5.98,-4.6,-14.2
2019年10月,6.27,-2.3,-5.7
2019年09月,6.42,1.4,-4.3
2019年08月,6.33,0.2,-0.2
2019年07月,6.32,-4.7,7.3
2019年06月,6.63,-2.2,12.6
2019年05月,6.78,0.4,9.9
2019年04月,6.75,0.1,5.0
2019年03月,6.74,-1.0,5.3
2019年02月,6.81,-0.9,1.8
2019年1月,6.87,0.1,11.0
2018年12月,6.86,-1.6,26.1
2018年11月,6.97,4.8,40.2
2018年10月,6.65,-0.9,38.3
2018年09月,6.71,5.8,27.6
2018年08月,6.34,7.6,16.5
2018年07月,5.89,0.0,3.7
2018年06月,5.89,-4.5,-1.3
2018年05月,6.17,-4.0,-1.8
2018年04月,6.43,0.5,9.9
2018年03月,6.4,-4.3,19.6
2018年02月,6.69,8.1,31.2
2018年1月,6.19,13.8,20.7
2017年12月,5.44,9.5,7.9
2017年11月,4.97,3.3,-5.3
2017年10月,4.81,-8.6,-15.5
2017年09月,5.26,-3.3,-17.6
2017年08月,5.44,-4.2,-12.4
2017年07月,5.68,-4.9,0.9
2017年06月,5.97,-4.9,3.3
2017年05月,6.28,7.4,8.5
2017年04月,5.85,9.3,5.6
2017年03月,5.35,4.9,-5.1
2017年02月,5.1,-0.6,-9.3
2017年1月,5.13,1.8,-3.0
2016年12月,5.04,-4.0,4.6
2016年11月,5.25,-7.7,8.0
2016年10月,5.69,-10.8,14.7
2016年09月,6.38,2.7,18.8
2016年08月,6.21,10.3,13.7
2016年07月,5.63,-2.6,1.6
2016年06月,5.78,-0.2,-0.9
2016年05月,5.79,4.5,-6.5
2016年04月,5.54,-1.8,-10.2
2016年03月,5.64,0.4,-14.2
2016年02月,5.62,6.2,-21.8
2016年1月,5.29,9.8,-19.4
2015年12月,4.82,-0.8,-27.6
2015年11月,4.86,-2.0,-29.6
2015年10月,4.96,-7.6,-34.1
2015年09月,5.37,-1.6,-34.4
2015年08月,5.46,-1.4,-31.1
2015年07月,5.54,-5.0,-23.3
2015年06月,5.83,-5.8,-20.6
2015年05月,6.19,0.3,-17.7
2015年04月,6.17,-6.1,-9.7
2015年03月,6.57,-8.6,2.2
2015年02月,7.19,9.6,13.4
2015年1月,6.56,-1.5,9.3
