date,price,monthly,yearly
2025年02月,2.81,0.1,-9.2
2025年01月,2.81,-0.3,-9.7
2024年12月,2.81,-0.5,-10.8
2024年11月,2.83,-0.4,-10.7
2024年10月,2.84,0.0,-10.7
2024年09月,2.84,-0.4,-10.4
2024年08月,2.85,-0.7,-9.2
2024年07月,2.87,-1.0,-7.1
2024年06月,2.9,-1.7,-6.1
2024年05月,2.95,-1.7,-6.1
2024年04月,3.0,-1.6,-7.1
2024年03月,3.05,-1.3,-7.3
2024年02月,3.09,-0.6,-6.9
2024年01月,3.11,-1.3,-6.9
2023年12月,3.15,-0.6,-5.7
2023年11月,3.17,-0.3,-6.5
2023年10月,3.18,0.3,-4.2
2023年09月,3.17,1.0,-1.2
2023年08月,3.14,1.6,-3.7
2023年07月,3.09,0.0,-4.3
2023年06月,3.09,-1.6,-4.0
2023年05月,3.14,-2.8,-1.6
2023年04月,3.23,-1.8,2.5
2023年03月,3.29,-0.9,5.8
2023年02月,3.32,-0.6,12.2
2023年01月,3.34,0.0,13.6
2022年12月,3.34,-1.5,14.8
2022年11月,3.39,2.1,16.9
2022年10月,3.32,3.4,16.5
2022年09月,3.21,-1.5,13.4
2022年08月,3.26,0.9,15.2
2022年07月,3.23,0.3,14.5
2022年06月,3.22,0.9,14.6
2022年05月,3.19,1.3,13.1
2022年04月,3.15,1.3,11.7
2022年03月,3.11,5.1,10.7
2022年02月,2.96,0.7,5.3
2022年01月,2.94,1.0,5.0
2021年12月,2.91,0.3,6.6
2021年11月,2.9,1.8,6.6
2021年10月,2.85,0.7,5.2
2021年09月,2.83,0.0,5.6
2021年08月,2.83,0.4,6.8
2021年07月,2.82,0.4,7.2
2021年06月,2.81,-0.4,7.7
2021年05月,2.82,0.0,6.8
2021年04月,2.82,0.4,6.0
2021年03月,2.81,0.0,6.4
2021年02月,2.81,0.4,6.0
2021年01月,2.8,2.6,8.5
2020年12月,2.73,0.4,5.8
2020年11月,2.72,0.4,5.4
2020年10月,2.71,1.1,5.4
2020年09月,2.68,1.1,5.1
2020年08月,2.65,0.8,4.3
2020年07月,2.63,0.8,3.5
2020年06月,2.61,-1.1,3.2
2020年05月,2.64,-0.8,2.3
2020年04月,2.66,0.8,2.7
2020年03月,2.64,-0.4,1.9
2020年02月,2.65,2.7,2.3
2020年01月,2.58,0.0,-0.8
2019年12月,2.58,0.0,-0.8
2019年11月,2.58,0.4,-0.4
2019年10月,2.57,0.8,-0.8
2019年09月,2.55,0.4,-0.8
2019年08月,2.54,0.0,-0.8
2019年07月,2.54,0.4,-0.8
2019年06月,2.53,-1.9,0.0
2019年05月,2.58,-0.4,0.8
2019年04月,2.59,0.0,-0.4
2019年03月,2.59,0.0,-0.8
2019年02月,2.59,-0.4,-0.8
2019年01月,2.6,0.0,0.0
2018年12月,2.6,0.4,0.4
2018年11月,2.59,0.0,0.8
2018年10月,2.59,0.8,1.6
2018年09月,2.57,0.4,1.2
2018年08月,2.56,0.0,1.2
2018年07月,2.56,1.2,2.0
2018年06月,2.53,-1.2,2.0
2018年05月,2.56,-1.5,1.6
2018年04月,2.6,-0.4,3.2
2018年03月,2.61,0.0,3.6
2018年02月,2.61,0.4,4.0
2018年01月,2.6,0.4,3.6
2017年12月,2.59,0.8,4.4
2017年11月,2.57,0.8,4.5
2017年10月,2.55,0.4,4.9
2017年09月,2.54,0.4,5.8
2017年08月,2.53,0.8,5.9
2017年07月,2.51,1.2,5.0
2017年06月,2.48,-1.6,2.9
2017年05月,2.52,0.0,1.2
2017年04月,2.52,0.0,1.2
2017年03月,2.52,0.4,2.0
2017年02月,2.51,0.0,2.0
2017年01月,2.51,1.2,2.4
2016年12月,2.48,0.8,2.1
2016年11月,2.46,1.2,0.8
2016年10月,2.43,1.3,0.0
2016年09月,2.4,0.4,-3.2
2016年08月,2.39,0.0,-4.8
2016年07月,2.39,-0.8,-4.8
2016年06月,2.41,-3.2,-4.0
2016年05月,2.49,0.0,-2.7
2016年04月,2.49,0.8,-3.5
2016年03月,2.47,0.4,-4.3
2016年02月,2.46,0.4,-4.7
2016年01月,2.45,0.8,-5.4
2015年12月,2.43,-0.4,-6.2
2015年11月,2.44,0.4,-6.2
2015年10月,2.43,-2.0,-6.5
2015年09月,2.48,-1.2,-4.2
2015年08月,2.51,0.0,-2.7
2015年07月,2.51,0.0,-2.0
2015年06月,2.51,-2.0,-1.2
2015年05月,2.56,-0.8,0.0
2015年04月,2.58,0.0,0.8
2015年03月,2.58,0.0,0.4
2015年02月,2.58,-0.4,0.4
2015年01月,2.59,0.0,1.2
2014年12月,2.59,-0.4,0.8
2014年11月,2.6,0.0,1.6
2014年10月,2.6,0.4,2.4
2014年09月,2.59,0.4,3.2
2014年08月,2.58,0.8,4.0
2014年07月,2.56,0.8,3.6
2014年06月,2.54,-0.8,4.1
2014年05月,2.56,0.0,3.2
2014年04月,2.56,-0.4,2.8
2014年03月,2.57,0.0,3.2
2014年02月,2.57,0.4,2.8
2014年01月,2.56,-0.4,3.2
2013年12月,2.57,0.4,4.9
2013年11月,2.56,0.8,6.7
2013年10月,2.54,1.2,7.2
2013年09月,2.51,1.2,6.8
2013年08月,2.48,0.4,6.4
2013年07月,2.47,1.2,8.3
2013年06月,2.44,-1.6,6.6
2013年05月,2.48,-0.4,6.0
2013年04月,2.49,0.0,6.0
2013年03月,2.49,-0.4,8.3
2013年02月,2.5,0.8,9.2
2013年01月,2.48,1.2,6.9
2012年12月,2.45,2.1,6.1
2012年11月,2.4,1.3,4.3
2012年10月,2.37,0.9,3.0
2012年09月,2.35,0.9,3.1
2012年08月,2.33,2.2,2.6
2012年07月,2.28,-0.4,0.9
2012年06月,2.29,-2.1,2.2
2012年05月,2.34,-0.4,3.1
2012年04月,2.35,2.2,4.0
2012年03月,2.3,0.4,3.1
2012年02月,2.29,-1.3,2.7
2012年01月,2.32,0.4,5.0
2011年12月,2.31,0.4,6.5
2011年11月,2.3,0.0,6.5
2011年10月,2.3,0.9,9.0
2011年09月,2.28,0.4,8.6
2011年08月,2.27,0.4,9.7
2011年07月,2.26,0.9,9.7
2011年06月,2.24,-1.3,9.8
2011年05月,2.27,0.4,10.2
2011年04月,2.26,1.3,10.2
2011年03月,2.23,0.0,9.9
2011年02月,2.23,0.9,10.9
2011年01月,2.21,1.8,10.0
2010年12月,2.17,0.5,8.5
2010年11月,2.16,2.4,9.6
2010年10月,2.11,0.5,8.2
2010年09月,2.1,1.4,8.2
2010年08月,2.07,0.5,7.8
2010年07月,2.06,1.0,7.9
2010年06月,2.04,-1.0,7.4
2010年05月,2.06,0.5,7.9
2010年04月,2.05,1.0,7.3
2010年03月,2.03,1.0,5.7
2010年02月,2.01,0.0,5.8
2010年01月,2.01,0.5,8.6
2009年12月,2.0,1.5,9.9
2009年11月,1.97,1.0,9.4
2009年10月,1.95,0.5,8.9
2009年09月,1.94,1.0,8.4
2009年08月,1.92,0.5,7.9
2009年07月,1.91,0.5,9.1
2009年06月,1.9,-0.5,10.5
2009年05月,1.91,0.0,10.4
2009年04月,1.91,-0.5,10.4
2009年03月,1.92,1.1,11.0
2009年02月,1.9,2.7,11.1
2009年01月,1.85,1.6,7.6
2008年12月,1.82,1.1,7.1
2008年11月,1.8,0.6,8.4
2008年10月,1.79,0.0,9.1
2008年09月,1.79,0.6,9.8
2008年08月,1.78,1.7,11.9
2008年07月,1.75,1.7,12.9
2008年06月,1.72,-0.6,11.0
2008年05月,1.73,0.0,10.9
2008年04月,1.73,0.0,10.9
2008年03月,1.73,1.2,10.2
2008年02月,1.71,-0.6,8.9
2008年01月,1.72,1.2,8.2
2007年12月,1.7,2.4,8.3
2007年11月,1.66,1.2,9.2
2007年10月,1.64,0.6,11.6
2007年09月,1.63,2.5,12.4
2007年08月,1.59,2.6,8.9
2007年07月,1.55,0.0,5.4
2007年06月,1.55,-0.6,6.9
2007年05月,1.56,0.0,6.8
2007年04月,1.56,-0.6,6.8
2007年03月,1.57,0.0,7.5
2007年02月,1.57,-1.3,8.3
2007年01月,1.59,1.3,8.9
2006年12月,1.57,3.3,6.8
2006年11月,1.52,3.4,4.1
2006年10月,1.47,1.4,1.4
2006年09月,1.45,-0.7,-1.4
2006年08月,1.46,-0.7,-0.7
2006年07月,1.47,1.4,0.7
2006年06月,1.45,-0.7,-2.0
2006年05月,1.46,0.0,-5.8
2006年04月,1.46,0.0,-7.6
2006年03月,1.46,0.7,-7.0
2006年02月,1.45,-0.7,-7.6
2006年01月,1.46,-0.7,-6.4
2005年12月,1.47,0.7,-5.8
2005年11月,1.46,0.7,-6.4
2005年10月,1.45,-1.4,-8.2
2005年09月,1.47,0.0,-6.4
2005年08月,1.47,0.7,-5.8
2005年07月,1.46,-1.4,-4.6
2005年06月,1.48,-4.5,-3.9
2005年05月,1.55,-1.9,0.0
2005年04月,1.58,0.6,0.6
2005年03月,1.57,0.0,4.7
2005年02月,1.57,0.6,16.3
2005年01月,1.56,0.0,16.4
2004年12月,1.56,0.0,16.4
2004年11月,1.56,-1.3,23.8
2004年10月,1.58,0.6,38.6
2004年09月,1.57,0.6,42.7
2004年08月,1.56,2.0,44.4
2004年07月,1.53,-0.6,41.7
2004年06月,1.54,-0.6,41.3
2004年05月,1.55,-1.3,40.9
2004年04月,1.57,4.7,42.7
2004年03月,1.5,11.1,36.4
2004年02月,1.35,0.7,20.5
2004年01月,1.34,0.0,18.6
2003年12月,1.34,6.3,4.9
2003年11月,1.26,10.5,6.7
2003年10月,1.14,3.6,7.2
2003年09月,1.1,1.9,6.8
2003年08月,1.08,0.0,6.4
2003年07月,1.08,-0.9,8.3
2003年06月,1.09,-0.9,6.6
2003年05月,1.1,0.0,6.0
2003年04月,1.1,0.0,6.0
2003年03月,1.1,-1.8,8.3
2003年02月,1.12,-0.9,9.2
2003年01月,1.13,7.6,6.9
