date,price,monthly,yearly
2025年02月,6.39,2.5,-0.1
2025年01月,6.23,0.7,-2.7
2024年12月,6.18,-0.6,-5.0
2024年11月,6.22,0.0,-4.2
2024年10月,6.22,-0.5,-4.2
2024年09月,6.25,-0.8,-3.1
2024年08月,6.3,-0.2,-2.3
2024年07月,6.31,0.5,-2.0
2024年06月,6.28,0.0,-1.7
2024年05月,6.28,-1.6,-2.0
2024年04月,6.38,-0.5,-0.6
2024年03月,6.41,0.3,-0.3
2024年02月,6.39,-0.2,-0.8
2024年01月,6.4,-1.7,0.5
2023年12月,6.51,0.3,2.0
2023年11月,6.49,0.0,2.9
2023年10月,6.49,0.6,2.5
2023年09月,6.45,0.0,2.1
2023年08月,6.45,0.2,2.5
2023年07月,6.44,0.8,2.9
2023年06月,6.39,-0.3,1.8
2023年05月,6.41,-0.2,3.6
2023年04月,6.42,-0.2,6.5
2023年03月,6.43,-0.2,7.5
2023年02月,6.44,1.1,7.2
2023年01月,6.37,-0.2,6.2
2022年12月,6.38,1.1,6.2
2022年11月,6.31,-0.3,4.6
2022年10月,6.33,0.2,6.2
2022年09月,6.32,0.5,6.6
2022年08月,6.29,0.5,6.8
2022年07月,6.26,-0.3,6.3
2022年06月,6.28,1.5,6.1
2022年05月,6.19,2.7,5.1
2022年04月,6.03,0.8,4.1
2022年03月,5.98,-0.5,3.3
2022年02月,6.01,0.2,4.2
2022年01月,6.0,-0.2,3.4
2021年12月,6.01,-0.3,4.3
2021年11月,6.03,1.2,5.6
2021年10月,5.96,0.5,5.1
2021年09月,5.93,0.7,5.3
2021年08月,5.89,0.0,4.8
2021年07月,5.89,-0.5,5.7
2021年06月,5.92,0.5,7.1
2021年05月,5.89,1.7,7.1
2021年04月,5.79,0.0,4.7
2021年03月,5.79,0.3,4.7
2021年02月,5.77,-0.5,4.5
2021年01月,5.8,0.7,7.6
2020年12月,5.76,0.9,6.1
2020年11月,5.71,0.7,5.4
2020年10月,5.67,0.7,5.0
2020年09月,5.63,0.2,4.3
2020年08月,5.62,0.9,4.9
2020年07月,5.57,0.7,3.3
2020年06月,5.53,0.5,2.4
2020年05月,5.5,-0.5,2.4
2020年04月,5.53,0.0,3.2
2020年03月,5.53,0.2,3.2
2020年02月,5.52,2.4,2.4
2020年01月,5.39,-0.7,-0.4
2019年12月,5.43,0.2,0.6
2019年11月,5.42,0.4,0.6
2019年10月,5.4,0.0,-0.2
2019年09月,5.4,0.7,0.7
2019年08月,5.36,-0.6,0.0
2019年07月,5.39,-0.2,1.1
2019年06月,5.4,0.6,1.3
2019年05月,5.37,0.2,1.3
2019年04月,5.36,0.0,0.8
2019年03月,5.36,-0.6,1.1
2019年02月,5.39,-0.4,1.5
2019年01月,5.41,0.2,1.9
2018年12月,5.4,0.2,1.1
2018年11月,5.39,-0.4,1.1
2018年10月,5.41,0.9,1.9
2018年09月,5.36,0.0,1.1
2018年08月,5.36,0.6,1.9
2018年07月,5.33,0.0,1.9
2018年06月,5.33,0.6,3.3
2018年05月,5.3,-0.4,2.5
2018年04月,5.32,0.4,4.1
2018年03月,5.3,-0.2,3.7
2018年02月,5.31,0.0,4.1
2018年01月,5.31,-0.6,4.7
2017年12月,5.34,0.2,6.4
2017年11月,5.33,0.4,7.7
2017年10月,5.31,0.2,7.7
2017年09月,5.3,0.8,6.9
2017年08月,5.26,0.6,7.3
2017年07月,5.23,1.4,6.7
2017年06月,5.16,-0.2,7.7
2017年05月,5.17,1.2,6.2
2017年04月,5.11,0.0,2.8
2017年03月,5.11,0.2,2.8
2017年02月,5.1,0.6,2.4
2017年01月,5.07,1.0,1.2
2016年12月,5.02,1.4,-2.3
2016年11月,4.95,0.4,-3.3
2016年10月,4.93,-0.6,-4.1
2016年09月,4.96,1.2,-4.1
2016年08月,4.9,0.0,-3.0
2016年07月,4.9,2.3,-3.9
2016年06月,4.79,-1.6,-5.9
2016年05月,4.87,-2.0,-5.4
2016年04月,4.97,0.0,-6.4
2016年03月,4.97,-0.2,-7.3
2016年02月,4.98,-0.6,-7.6
2016年01月,5.01,-2.5,-6.9
2015年12月,5.14,0.4,-4.3
2015年11月,5.12,-0.4,-4.3
2015年10月,5.14,-0.6,-3.2
2015年09月,5.17,2.4,-2.6
2015年08月,5.05,-1.0,-4.5
2015年07月,5.1,0.2,-3.2
2015年06月,5.09,-1.2,-2.7
2015年05月,5.15,-3.0,-2.6
2015年04月,5.31,-0.9,-1.3
2015年03月,5.36,-0.6,-0.7
2015年02月,5.39,0.2,-0.6
2015年01月,5.38,0.2,-1.1
2014年12月,5.37,0.4,-0.7
2014年11月,5.35,0.8,-1.3
2014年10月,5.31,0.0,-1.5
2014年09月,5.31,0.4,-0.6
2014年08月,5.29,0.4,-0.2
2014年07月,5.27,0.8,0.2
2014年06月,5.23,-1.1,0.2
2014年05月,5.29,-1.7,0.8
2014年04月,5.38,-0.4,-0.6
2014年03月,5.4,-0.4,0.4
2014年02月,5.42,-0.4,2.3
2014年01月,5.44,0.6,3.4
2013年12月,5.41,-0.2,4.0
2013年11月,5.42,0.6,4.4
2013年10月,5.39,0.9,4.3
2013年09月,5.34,0.8,3.5
2013年08月,5.3,0.8,3.7
2013年07月,5.26,0.8,4.2
2013年06月,5.22,-0.6,2.2
2013年05月,5.25,-3.0,3.3
2013年04月,5.41,0.6,6.3
2013年03月,5.38,1.5,6.7
2013年02月,5.3,0.8,5.2
2013年01月,5.26,1.2,4.8
2012年12月,5.2,0.2,0.0
2012年11月,5.19,0.4,5.9
2012年10月,5.17,0.2,5.1
2012年09月,5.16,1.0,5.1
2012年08月,5.11,1.2,4.7
2012年07月,5.05,-1.2,5.9
2012年06月,5.11,0.6,9.0
2012年05月,5.08,-0.2,8.8
2012年04月,5.09,1.0,9.0
2012年03月,5.04,0.0,9.1
2012年02月,5.04,0.4,10.8
2012年01月,5.02,-3.5,12.1
2011年12月,5.2,6.1,13.5
2011年11月,4.9,-0.4,11.1
2011年10月,4.92,0.2,16.9
2011年09月,4.91,0.6,17.7
2011年08月,4.88,2.3,14.8
2011年07月,4.77,1.7,15.8
2011年06月,4.69,0.4,13.3
2011年05月,4.67,0.0,9.9
2011年04月,4.67,1.1,13.3
2011年03月,4.62,1.5,14.4
2011年02月,4.55,1.6,10.4
2011年01月,4.48,-2.2,10.6
2010年12月,4.58,3.9,12.5
2010年11月,4.41,4.8,12.5
2010年10月,4.21,1.0,8.5
2010年09月,4.17,-1.9,8.0
2010年08月,4.25,3.2,11.3
2010年07月,4.12,-0.5,5.9
2010年06月,4.14,-2.6,6.4
2010年05月,4.25,3.2,4.2
2010年04月,4.12,2.0,-4.4
2010年03月,4.04,-1.9,-8.0
2010年02月,4.12,1.7,-8.8
2010年01月,4.05,-0.5,-7.5
2009年12月,4.07,3.8,-7.5
2009年11月,3.92,1.0,-13.3
2009年10月,3.88,0.5,-18.7
2009年09月,3.86,1.0,-22.3
2009年08月,3.82,-1.8,-25.2
2009年07月,3.89,0.0,-24.9
2009年06月,3.89,-4.7,-23.3
2009年05月,4.08,-5.3,-17.4
2009年04月,4.31,-1.8,-12.8
2009年03月,4.39,-2.9,-12.7
2009年02月,4.52,3.2,-2.8
2009年01月,4.38,-0.5,1.9
2008年12月,4.4,-2.7,9.2
2008年11月,4.52,-5.2,15.0
2008年10月,4.77,-4.0,23.9
2008年09月,4.97,-2.7,32.9
2008年08月,5.11,-1.4,42.7
2008年07月,5.18,2.2,48.0
2008年06月,5.07,2.6,50.4
2008年05月,4.94,0.0,62.0
2008年04月,4.94,-1.8,64.7
2008年03月,5.03,8.2,67.7
2008年02月,4.65,8.1,57.1
2008年01月,4.3,6.7,47.3
2007年12月,4.03,2.5,36.6
2007年11月,3.93,2.1,46.6
2007年10月,3.85,2.9,44.7
2007年09月,3.74,4.5,42.2
2007年08月,3.58,2.3,37.7
2007年07月,3.5,3.9,35.7
2007年06月,3.37,10.5,32.2
2007年05月,3.05,1.7,17.3
2007年04月,3.0,0.0,12.4
2007年03月,3.0,1.4,12.8
2007年02月,2.96,1.4,13.0
2007年01月,2.92,-1.0,12.3
2006年12月,2.95,10.1,13.0
2006年11月,2.68,0.8,3.9
2006年10月,2.66,1.1,3.5
2006年09月,2.63,1.2,3.5
2006年08月,2.6,0.8,3.2
2006年07月,2.58,1.2,3.2
2006年06月,2.55,-1.9,0.0
2006年05月,2.6,-2.6,-6.5
2006年04月,2.67,0.4,-6.3
2006年03月,2.66,1.5,-7.0
2006年02月,2.62,0.8,-7.7
2006年01月,2.6,-0.4,-8.8
2005年12月,2.61,1.2,-9.1
2005年11月,2.58,0.4,-10.1
2005年10月,2.57,1.2,-11.1
2005年09月,2.54,0.8,-13.0
2005年08月,2.52,0.8,-12.8
2005年07月,2.5,-2.0,-13.8
2005年06月,2.55,-8.3,-9.6
2005年05月,2.78,-2.5,-2.1
2005年04月,2.85,-0.3,-1.0
2005年03月,2.86,0.7,2.5
2005年02月,2.84,-0.4,2.5
2005年01月,2.85,-0.7,1.4
2004年12月,2.87,0.0,1.1
2004年11月,2.87,-0.7,0.0
2004年10月,2.89,-1.0,13.8
2004年09月,2.92,1.0,19.7
2004年08月,2.89,-0.3,21.4
2004年07月,2.9,2.8,22.9
2004年06月,2.82,-0.7,23.7
2004年05月,2.84,-1.4,25.7
2004年04月,2.88,3.2,35.8
2004年03月,2.79,0.7,30.4
2004年02月,2.77,-1.4,21.0
2004年01月,2.81,-1.1,25.4
2003年12月,2.84,-1.0,4.0
2003年11月,2.87,13.0,4.4
2003年10月,2.54,4.1,4.3
2003年09月,2.44,2.5,3.5
2003年08月,2.38,0.8,3.7
2003年07月,2.36,3.5,4.2
2003年06月,2.28,0.9,2.2
2003年05月,2.26,6.6,3.3
2003年04月,2.12,-0.9,6.3
2003年03月,2.14,-6.6,6.7
2003年02月,2.29,2.2,5.2
2003年01月,2.24,8.7,4.8
