date,price,monthly,yearly
2025年02月,2.37,1.1,-10.2
2025年1月,2.35,0.1,-12.1
2024年12月,2.35,-1.4,-14.9
2024年11月,2.38,-0.8,-15.6
2024年10月,2.4,-2.4,-16.1
2024年09月,2.46,-2.8,-16.3
2024年08月,2.53,-1.9,-14.5
2024年07月,2.58,0.0,-11.3
2024年06月,2.58,0.8,-10.4
2024年05月,2.56,0.0,-10.8
2024年04月,2.56,-1.9,-11.4
2024年03月,2.61,-1.1,-10.0
2024年02月,2.64,-1.1,-9.3
2024年1月,2.67,-3.3,-8.2
2023年12月,2.76,-2.1,-5.5
2023年11月,2.82,-1.4,-4.1
2023年10月,2.86,-2.7,-1.4
2023年09月,2.94,-0.7,2.1
2023年08月,2.96,1.7,2.4
2023年07月,2.91,1.0,0.3
2023年06月,2.88,0.3,-1.0
2023年05月,2.87,-0.7,0.0
2023年04月,2.89,-0.3,1.4
2023年03月,2.9,-0.3,2.5
2023年02月,2.91,0.0,6.2
2023年1月,2.91,-0.3,6.6
2022年12月,2.92,-0.7,6.6
2022年11月,2.94,1.4,7.3
2022年10月,2.9,0.7,7.8
2022年09月,2.88,-0.3,4.7
2022年08月,2.89,-0.3,2.1
2022年07月,2.9,-0.3,2.5
2022年06月,2.91,1.4,1.4
2022年05月,2.87,0.7,0.3
2022年04月,2.85,0.7,0.7
2022年03月,2.83,3.3,0.7
2022年02月,2.74,0.4,-1.8
2022年1月,2.73,-0.4,0.0
2021年12月,2.74,0.0,9.6
2021年11月,2.74,1.9,11.8
2021年10月,2.69,-2.2,11.6
2021年09月,2.75,-2.8,17.0
2021年08月,2.83,0.0,20.4
2021年07月,2.83,-1.4,25.2
2021年06月,2.87,0.3,30.5
2021年05月,2.86,1.1,32.4
2021年04月,2.83,0.7,33.5
2021年03月,2.81,0.7,36.4
2021年02月,2.79,2.2,36.1
2021年1月,2.73,9.2,36.5
2020年12月,2.5,2.0,25.6
2020年11月,2.45,1.7,22.5
2020年10月,2.41,2.6,19.9
2020年09月,2.35,0.0,15.8
2020年08月,2.35,4.0,14.1
2020年07月,2.26,2.7,10.2
2020年06月,2.2,1.9,8.4
2020年05月,2.16,1.9,8.0
2020年04月,2.12,2.9,7.1
2020年03月,2.06,0.5,4.6
2020年02月,2.05,2.5,3.5
2020年1月,2.0,0.5,1.0
2019年12月,1.99,-0.5,-0.5
2019年11月,2.0,-0.5,0.5
2019年10月,2.01,-1.0,2.0
2019年09月,2.03,-1.5,2.5
2019年08月,2.06,0.5,3.0
2019年07月,2.05,1.0,2.0
2019年06月,2.03,1.5,1.0
2019年05月,2.0,1.0,-0.5
2019年04月,1.98,0.5,-2.0
2019年03月,1.97,-0.5,-2.5
2019年02月,1.98,0.0,1.0
2019年1月,1.98,-1.0,1.5
2018年12月,2.0,0.5,4.2
2018年11月,1.99,1.0,4.7
2018年10月,1.97,-0.5,3.7
2018年09月,1.98,-1.0,2.6
2018年08月,2.0,-0.5,3.1
2018年07月,2.01,0.0,3.6
2018年06月,2.01,0.0,4.7
2018年05月,2.01,-0.5,5.8
2018年04月,2.02,0.0,7.4
2018年03月,2.02,3.1,9.2
